time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
12:23:06.322425,192.168.0.1:54206,10.0.0.2:5201,0,300565316,0,10,2147483647,0,42340,0
12:23:06.322425,192.168.0.1:45264,10.0.0.2:5202,0,4285825795,0,10,2147483647,0,42340,0
12:23:06.330722,192.168.0.1:54206,10.0.0.2:5201,0,300565317,3555571474,10,2147483647,66312,42496,0
12:23:06.330751,192.168.0.1:45264,10.0.0.2:5202,0,4285825796,4209794231,10,2147483647,66512,42496,0
12:23:06.330752,192.168.0.1:54206,10.0.0.2:5201,37,300565317,3555571474,10,2147483647,66312,42496,0
12:23:06.330773,192.168.0.1:45264,10.0.0.2:5202,37,4285825796,4209794231,10,2147483647,66512,42496,0
12:23:06.334858,192.168.0.1:54206,10.0.0.2:5201,0,300565354,3555571475,10,2147483647,62099,42496,0
12:23:06.334885,192.168.0.1:45264,10.0.0.2:5202,0,4285825833,4209794232,10,2147483647,62257,42496,0
12:23:06.334905,192.168.0.1:54206,10.0.0.2:5201,4,300565354,3555571475,10,2147483647,62099,42496,0
12:23:06.334922,192.168.0.1:45264,10.0.0.2:5202,4,4285825833,4209794232,10,2147483647,62257,42496,0
12:23:06.384598,192.168.0.1:45264,10.0.0.2:5202,136,4285825837,4209794232,10,2147483647,104142,42496,0
12:23:06.384616,192.168.0.1:54206,10.0.0.2:5201,135,300565358,3555571475,10,2147483647,104048,42496,0
12:23:06.388842,192.168.0.1:45266,10.0.0.2:5202,0,1028850430,0,10,2147483647,0,42340,0
12:23:06.388843,192.168.0.1:54218,10.0.0.2:5201,0,852802161,0,10,2147483647,0,42340,0
12:23:06.393017,192.168.0.1:54218,10.0.0.2:5201,0,852802162,1012983399,10,2147483647,33288,42496,0
12:23:06.393037,192.168.0.1:45266,10.0.0.2:5202,0,1028850431,3340212455,10,2147483647,33504,42496,0
12:23:06.393058,192.168.0.1:54218,10.0.0.2:5201,37,852802162,1012983399,10,2147483647,33288,42496,0
12:23:06.393069,192.168.0.1:45266,10.0.0.2:5202,37,1028850431,3340212455,10,2147483647,33504,42496,0
12:23:06.430487,192.168.0.1:45264,10.0.0.2:5202,0,4285825973,4209794233,10,2147483647,95268,42496,0
12:23:06.430519,192.168.0.1:54206,10.0.0.2:5201,0,300565493,3555571476,10,2147483647,95174,42496,0
12:23:06.434616,192.168.0.1:45264,10.0.0.2:5202,0,4285825973,4209794235,10,2147483647,95268,42496,0
12:23:06.434625,192.168.0.1:54206,10.0.0.2:5201,0,300565493,3555571478,10,2147483647,95174,42496,0
12:23:06.434644,192.168.0.1:45266,10.0.0.2:5202,7240,1028850468,3340212455,10,2147483647,33374,42496,0
12:23:06.434649,192.168.0.1:54218,10.0.0.2:5201,7240,852802199,1012983399,10,2147483647,33192,42496,0
12:23:06.434652,192.168.0.1:45266,10.0.0.2:5202,7240,1028857708,3340212455,10,2147483647,33374,42496,0
12:23:06.434657,192.168.0.1:54218,10.0.0.2:5201,7240,852809439,1012983399,10,2147483647,33192,42496,0
12:23:06.438696,192.168.0.1:45266,10.0.0.2:5202,1448,1028864948,3340212455,10,2147483647,33241,42496,1
12:23:06.438791,192.168.0.1:45266,10.0.0.2:5202,1448,1028850468,3340212455,8,7,33157,42496,3
12:23:06.439043,192.168.0.1:54218,10.0.0.2:5201,1448,852816679,1012983399,10,2147483647,33436,42496,1
12:23:06.439270,192.168.0.1:54218,10.0.0.2:5201,1448,852802199,1012983399,8,5,34173,42496,3
12:23:06.439516,192.168.0.1:45266,10.0.0.2:5202,1448,1028866396,3340212455,7,7,33979,42496,3
12:23:06.439640,192.168.0.1:45266,10.0.0.2:5202,1448,1028867844,3340212455,7,7,34716,42496,3
12:23:06.439765,192.168.0.1:45266,10.0.0.2:5202,1448,1028869292,3340212455,7,7,35483,42496,3
12:23:06.439889,192.168.0.1:45266,10.0.0.2:5202,1448,1028870740,3340212455,7,7,36278,42496,3
12:23:06.440004,192.168.0.1:45266,10.0.0.2:5202,1448,1028872188,3340212455,7,7,37092,42496,3
12:23:06.440129,192.168.0.1:54218,10.0.0.2:5201,1448,852818127,1012983399,7,5,35785,42496,3
12:23:06.440483,192.168.0.1:54218,10.0.0.2:5201,1448,852819575,1012983399,5,5,39073,42496,3
12:23:06.440614,192.168.0.1:54218,10.0.0.2:5201,1448,852821023,1012983399,5,5,40143,42496,3
12:23:06.442749,192.168.0.1:45266,10.0.0.2:5202,1448,1028873636,3340212455,7,7,36498,42496,3
12:23:06.443086,192.168.0.1:54218,10.0.0.2:5201,1448,852822471,1012983399,5,5,39164,42496,3
12:23:06.443554,192.168.0.1:45266,10.0.0.2:5202,2896,1028875084,3340212455,7,7,35475,42496,0
12:23:06.443791,192.168.0.1:45266,10.0.0.2:5202,2896,1028877980,3340212455,7,7,34714,42496,0
12:23:06.444162,192.168.0.1:54218,10.0.0.2:5201,2896,852823919,1012983399,5,5,37515,42496,0
12:23:06.444651,192.168.0.1:54218,10.0.0.2:5201,2896,852826815,1012983399,5,5,36301,42496,0
12:23:06.446846,192.168.0.1:45266,10.0.0.2:5202,2896,1028880876,3340212455,8,7,36933,42496,0
12:23:06.446862,192.168.0.1:45266,10.0.0.2:5202,2896,1028883772,3340212455,8,7,36933,42496,0
12:23:06.447139,192.168.0.1:54218,10.0.0.2:5201,2896,852829711,1012983399,6,5,35814,42496,0
12:23:06.447627,192.168.0.1:45266,10.0.0.2:5202,2896,1028886668,3340212455,8,7,36375,42496,0
12:23:06.447884,192.168.0.1:45266,10.0.0.2:5202,2896,1028889564,3340212455,8,7,35917,42496,0
12:23:06.448214,192.168.0.1:54218,10.0.0.2:5201,2896,852832607,1012983399,6,5,35390,42496,0
12:23:06.448691,192.168.0.1:54218,10.0.0.2:5201,2896,852835503,1012983399,6,5,35007,42496,0
12:23:06.450903,192.168.0.1:45266,10.0.0.2:5202,2896,1028892460,3340212455,8,7,35475,42496,0
12:23:06.451131,192.168.0.1:45266,10.0.0.2:5202,2896,1028895356,3340212455,8,7,35321,42496,0
12:23:06.451369,192.168.0.1:54218,10.0.0.2:5201,2896,852838399,1012983399,7,5,34861,42496,0
12:23:06.451699,192.168.0.1:45266,10.0.0.2:5202,2896,1028898252,3340212455,8,7,34975,42496,0
12:23:06.451933,192.168.0.1:45266,10.0.0.2:5202,2896,1028901148,3340212455,8,7,34648,42496,0
12:23:06.452251,192.168.0.1:54218,10.0.0.2:5201,2896,852841295,1012983399,7,5,34538,42496,0
12:23:06.452728,192.168.0.1:54218,10.0.0.2:5201,2896,852844191,1012983399,7,5,34257,42496,0
12:23:06.452733,192.168.0.1:54218,10.0.0.2:5201,1448,852847087,1012983399,7,5,34257,42496,0
12:23:06.454963,192.168.0.1:45266,10.0.0.2:5202,2896,1028904044,3340212455,8,7,34362,42496,0
12:23:06.455183,192.168.0.1:45266,10.0.0.2:5202,2896,1028906940,3340212455,8,7,34112,42496,0
12:23:06.455423,192.168.0.1:54218,10.0.0.2:5201,2896,852848535,1012983399,7,5,34026,42496,0
12:23:06.455782,192.168.0.1:45266,10.0.0.2:5202,2896,1028909836,3340212455,8,7,33924,42496,0
12:23:06.455999,192.168.0.1:45266,10.0.0.2:5202,2896,1028912732,3340212455,8,7,33746,42496,0
12:23:06.456307,192.168.0.1:54218,10.0.0.2:5201,2896,852851431,1012983399,8,5,33825,42496,0
12:23:06.456808,192.168.0.1:54218,10.0.0.2:5201,2896,852854327,1012983399,8,5,33674,42496,0
12:23:06.456890,192.168.0.1:54218,10.0.0.2:5201,2896,852857223,1012983399,8,5,33519,42496,0
12:23:06.459021,192.168.0.1:45266,10.0.0.2:5202,2896,1028915628,3340212455,8,7,33578,42496,0
12:23:06.459238,192.168.0.1:45266,10.0.0.2:5202,2896,1028918524,3340212455,8,7,33295,42496,0
12:23:06.459502,192.168.0.1:54218,10.0.0.2:5201,1448,852860119,1012983399,8,5,33406,42496,0
12:23:06.459840,192.168.0.1:45266,10.0.0.2:5202,2896,1028921420,3340212455,8,7,33092,42496,0
12:23:06.460062,192.168.0.1:45266,10.0.0.2:5202,2896,1028924316,3340212455,8,7,32938,42496,0
12:23:06.460340,192.168.0.1:54218,10.0.0.2:5201,2896,852861567,1012983399,8,5,33194,42496,0
12:23:06.460345,192.168.0.1:54218,10.0.0.2:5201,2896,852864463,1012983399,9,5,33085,42496,0
12:23:06.460859,192.168.0.1:54218,10.0.0.2:5201,2896,852867359,1012983399,9,5,32922,42496,0
12:23:06.461091,192.168.0.1:54218,10.0.0.2:5201,2896,852870255,1012983399,9,5,32965,42496,0
12:23:06.463065,192.168.0.1:45266,10.0.0.2:5202,2896,1028927212,3340212455,9,7,32857,42496,0
12:23:06.463273,192.168.0.1:45266,10.0.0.2:5202,2896,1028930108,3340212455,9,7,32733,42496,0
12:23:06.463532,192.168.0.1:54218,10.0.0.2:5201,1448,852873151,1012983399,9,5,32873,42496,0
12:23:06.463876,192.168.0.1:45266,10.0.0.2:5202,2896,1028933004,3340212455,9,7,32637,42496,0
12:23:06.464092,192.168.0.1:45266,10.0.0.2:5202,2896,1028935900,3340212455,9,7,32555,42496,0
12:23:06.464102,192.168.0.1:45266,10.0.0.2:5202,2896,1028938796,3340212455,10,7,32526,42496,0
12:23:06.464370,192.168.0.1:54218,10.0.0.2:5201,2896,852874599,1012983399,9,5,32721,42496,0
12:23:06.464604,192.168.0.1:54218,10.0.0.2:5201,4344,852877495,1012983399,10,5,32944,42496,0
12:23:06.465120,192.168.0.1:54218,10.0.0.2:5201,4344,852881839,1012983399,10,5,32725,42496,0
12:23:06.465127,192.168.0.1:54218,10.0.0.2:5201,1448,852886183,1012983399,10,5,32669,42496,0
12:23:06.467113,192.168.0.1:45266,10.0.0.2:5202,1448,1028941692,3340212455,10,7,32500,42496,0
12:23:06.467329,192.168.0.1:45266,10.0.0.2:5202,4344,1028943140,3340212455,10,7,32457,42496,0
12:23:06.467560,192.168.0.1:54218,10.0.0.2:5201,1448,852887631,1012983399,10,5,32613,42496,0
12:23:06.468132,192.168.0.1:45266,10.0.0.2:5202,4344,1028947484,3340212455,10,7,32408,42496,0
12:23:06.468391,192.168.0.1:45266,10.0.0.2:5202,4344,1028951828,3340212455,10,7,32746,42496,0
12:23:06.468626,192.168.0.1:54218,10.0.0.2:5201,2896,852889079,1012983399,10,5,32844,42496,0
12:23:06.468994,192.168.0.1:54218,10.0.0.2:5201,4344,852891975,1012983399,11,5,33294,42496,0
12:23:06.469237,192.168.0.1:54218,10.0.0.2:5201,4344,852896319,1012983399,11,5,33144,42496,0
12:23:06.469483,192.168.0.1:54218,10.0.0.2:5201,2896,852900663,1012983399,11,5,33449,42496,0
12:23:06.471170,192.168.0.1:45266,10.0.0.2:5202,1448,1028956172,3340212455,10,7,32696,42496,0
12:23:06.471485,192.168.0.1:45266,10.0.0.2:5202,4344,1028957620,3340212455,10,7,32688,42496,0
12:23:06.471603,192.168.0.1:54218,10.0.0.2:5201,1448,852903559,1012983399,11,5,33308,42496,0
12:23:06.472303,192.168.0.1:45266,10.0.0.2:5202,4344,1028961964,3340212455,10,7,32727,42496,0
12:23:06.472655,192.168.0.1:45266,10.0.0.2:5202,4344,1028966308,3340212455,10,7,32899,42496,0
12:23:06.472781,192.168.0.1:54218,10.0.0.2:5201,1448,852905007,1012983399,11,5,33297,42496,0
12:23:06.473143,192.168.0.1:54218,10.0.0.2:5201,4344,852906455,1012983399,11,5,33257,42496,0
12:23:06.473399,192.168.0.1:54218,10.0.0.2:5201,4344,852910799,1012983399,12,5,33360,42496,0
12:23:06.473748,192.168.0.1:54218,10.0.0.2:5201,4344,852915143,1012983399,12,5,33737,42496,0
12:23:06.475209,192.168.0.1:45266,10.0.0.2:5202,1448,1028970652,3340212455,10,7,32819,42496,0
12:23:06.475530,192.168.0.1:45266,10.0.0.2:5202,1448,1028972100,3340212455,10,7,32757,42496,0
12:23:06.475752,192.168.0.1:54218,10.0.0.2:5201,2896,852919487,1012983399,12,5,33819,42496,0
12:23:06.476346,192.168.0.1:45266,10.0.0.2:5202,4344,1028973548,3340212455,10,7,32719,42496,0
12:23:06.476710,192.168.0.1:45266,10.0.0.2:5202,4344,1028977892,3340212455,10,7,32702,42496,0
12:23:06.476844,192.168.0.1:45266,10.0.0.2:5202,2896,1028982236,3340212455,10,7,32773,42496,0
12:23:06.476946,192.168.0.1:54218,10.0.0.2:5201,1448,852922383,1012983399,12,5,33746,42496,0
12:23:06.477305,192.168.0.1:54218,10.0.0.2:5201,4344,852923831,1012983399,12,5,33414,42496,0
12:23:06.477663,192.168.0.1:54218,10.0.0.2:5201,5792,852928175,1012983399,13,5,33372,42496,0
12:23:06.479244,192.168.0.1:45266,10.0.0.2:5202,2896,1028985132,3340212455,11,7,32704,42496,0
12:23:06.479591,192.168.0.1:45266,10.0.0.2:5202,1448,1028988028,3340212455,11,7,32650,42496,0
12:23:06.479788,192.168.0.1:54218,10.0.0.2:5201,5792,852933967,1012983399,13,5,33223,42496,0
