time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
12:24:07.573170,192.168.0.1:55814,10.0.0.2:5201,0,1113073291,0,10,2147483647,0,42340,0
12:24:07.573530,192.168.0.1:52638,10.0.0.2:5202,0,1274226223,0,10,2147483647,0,42340,0
12:24:07.581403,192.168.0.1:55814,10.0.0.2:5201,0,1113073292,3690536961,10,2147483647,65704,42496,0
12:24:07.581440,192.168.0.1:52638,10.0.0.2:5202,0,1274226224,3237511883,10,2147483647,63200,42496,0
12:24:07.581443,192.168.0.1:55814,10.0.0.2:5201,37,1113073292,3690536961,10,2147483647,65704,42496,0
12:24:07.581509,192.168.0.1:52638,10.0.0.2:5202,37,1274226224,3237511883,10,2147483647,63200,42496,0
12:24:07.585516,192.168.0.1:55814,10.0.0.2:5201,0,1113073329,3690536962,10,2147483647,61547,42496,0
12:24:07.585566,192.168.0.1:55814,10.0.0.2:5201,4,1113073329,3690536962,10,2147483647,61547,42496,0
12:24:07.585646,192.168.0.1:52638,10.0.0.2:5202,0,1274226261,3237511884,10,2147483647,59337,42496,0
12:24:07.585711,192.168.0.1:52638,10.0.0.2:5202,4,1274226261,3237511884,10,2147483647,59337,42496,0
12:24:07.632563,192.168.0.1:52638,10.0.0.2:5202,136,1274226265,3237511884,10,2147483647,98746,42496,0
12:24:07.632603,192.168.0.1:55814,10.0.0.2:5201,135,1113073333,3690536962,10,2147483647,100890,42496,0
12:24:07.636804,192.168.0.1:52652,10.0.0.2:5202,0,535931883,0,10,2147483647,0,42340,0
12:24:07.636804,192.168.0.1:55824,10.0.0.2:5201,0,2640194182,0,10,2147483647,0,42340,0
12:24:07.640970,192.168.0.1:55824,10.0.0.2:5201,0,2640194183,3943327143,10,2147483647,33272,42496,0
12:24:07.640983,192.168.0.1:52652,10.0.0.2:5202,0,535931884,3889008559,10,2147483647,33400,42496,0
12:24:07.640997,192.168.0.1:55824,10.0.0.2:5201,37,2640194183,3943327143,10,2147483647,33272,42496,0
12:24:07.641003,192.168.0.1:52652,10.0.0.2:5202,37,535931884,3889008559,10,2147483647,33400,42496,0
12:24:07.682472,192.168.0.1:52638,10.0.0.2:5202,0,1274226401,3237511885,10,2147483647,90545,42496,0
12:24:07.682490,192.168.0.1:55814,10.0.0.2:5201,0,1113073468,3690536963,10,2147483647,92388,42496,0
