,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,2564667370,0,10,2147483647,0.0,0,0
1,8.293,2564667371,0,10,2147483647,8.29,66320,0
2,8.328,2564667371,37,10,2147483647,8.29,66320,0
3,12.433,2564667408,0,10,2147483647,7.765,62123,0
4,12.495,2564667408,4,10,2147483647,7.765,62123,0
5,60.033,2564667412,135,10,2147483647,12.737,101896,0
6,64.203,1654889323,0,10,2147483647,0.0,0,0
7,68.34,1654889324,0,10,2147483647,4.129,33032,0
8,68.367,1654889324,37,10,2147483647,4.129,33032,0
9,105.926,2564667547,0,10,2147483647,11.657,93256,0
10,110.07,2564667547,0,10,2147483647,11.657,93256,0
11,110.136,1654889361,7240,10,2147483647,4.121,32972,0
12,110.151,1654896601,7240,10,2147483647,4.121,32972,0
13,114.542,1654903841,1448,10,2147483647,4.156,33254,1
14,114.781,1654889361,1448,8,5,4.258,34066,3
15,115.641,1654905289,1448,7,5,4.467,35738,3
16,115.988,1654906737,1448,5,5,4.883,39071,3
17,116.108,1654908185,1448,5,5,5.018,40145,3
18,118.579,1654909633,1448,5,5,4.895,39160,3
19,119.667,1654911081,2896,5,5,4.688,37507,0
20,120.13,1654913977,2896,5,5,4.533,36266,0
21,122.618,1654916873,2896,6,5,4.471,35770,0
22,123.707,1654919769,2896,6,5,4.417,35336,0
23,124.19,1654922665,2896,6,5,4.372,34979,0
24,126.838,1654925561,2896,7,5,4.353,34825,0
25,127.754,1654928457,2896,7,5,4.314,34518,0
26,128.272,1654931353,2896,7,5,4.285,34284,0
27,128.276,1654934249,1448,7,5,4.285,34284,0
28,130.995,1654935697,2896,7,5,4.269,34152,0
29,131.803,1654938593,2896,8,5,4.241,33930,0
30,132.366,1654941489,2896,8,5,4.222,33779,0
31,132.45,1654944385,2896,8,5,4.203,33628,0
32,135.031,1654947281,1448,8,5,4.182,33461,0
33,135.86,1654948729,2896,8,5,4.152,33218,0
34,135.946,1654951625,2896,9,5,4.151,33208,0
35,136.483,1654954521,2896,9,5,4.142,33140,0
36,136.639,1654957417,2896,9,5,4.139,33113,0
37,139.07,1654960313,1448,9,5,4.126,33012,0
38,140.11,1654961761,1448,9,5,4.142,33143,0
39,140.351,1654963209,2896,9,5,4.201,33611,0
40,140.471,1654966105,2896,10,5,4.241,33934,0
41,140.849,1654969001,4344,10,5,4.226,33810,0
42,140.957,1654973345,1448,10,5,4.237,33901,0
43,143.16,1654974793,1448,10,5,4.219,33752,0
44,144.411,1654976241,1448,10,5,4.229,33832,0
45,144.761,1654977689,4344,10,5,4.237,33899,0
46,145.005,1654982033,4344,11,5,4.245,33963,0
47,145.364,1654986377,4344,11,5,4.284,34274,0
48,147.301,1654990721,1448,11,5,4.266,34129,0
49,148.687,1654992169,1448,11,5,4.267,34138,0
50,148.925,1654993617,2896,11,5,4.229,33839,0
51,149.289,1654996513,4344,12,5,4.235,33885,0
52,149.531,1655000857,4344,12,5,4.245,33964,0
53,151.354,1655005201,4344,12,5,4.244,33955,0
54,152.859,1655009545,1448,12,5,4.234,33879,0
55,153.315,1655010993,4344,12,5,4.184,33474,0
56,153.62,1655015337,5792,13,5,4.157,33256,0
57,155.398,1655021129,4344,13,5,4.159,33277,0
58,157.392,1655025473,4344,13,5,4.196,33570,0
59,157.753,1655029817,4344,13,5,4.24,33922,0
60,158.13,1655034161,4344,13,5,4.29,34322,0
61,159.437,1655038505,4344,14,5,4.297,34382,0
62,161.427,1655042849,4344,14,5,4.224,33796,0
63,161.932,1655047193,5792,14,5,4.195,33563,0
64,162.031,1655052985,1448,14,5,4.205,33644,0
65,162.293,1655054433,2896,14,5,4.182,33460,0
66,163.478,1655057329,2896,14,5,4.172,33382,0
67,165.723,1655060225,5792,15,5,4.177,33419,0
68,166.214,1655066017,5792,15,5,4.243,33947,0
69,166.694,1655071809,5792,15,5,4.335,34686,0
70,167.523,1655077601,4344,15,5,4.283,34271,0
71,169.758,1655081945,1448,15,5,4.252,34022,0
72,170.121,1655083393,5792,16,5,4.265,34127,0
73,170.607,1655089185,5792,16,5,4.253,34024,0
74,171.092,1655094977,5792,16,5,4.247,33979,0
75,173.789,1655100769,5792,16,5,4.238,33906,0
76,174.385,1655106561,7240,17,5,4.193,33544,0
77,175.128,1655113801,7240,17,5,4.15,33204,0
78,175.136,1655121041,1448,17,5,4.137,33098,0
79,175.362,1655122489,2896,17,5,4.155,33241,0
80,178.077,1655125385,1448,17,5,4.171,33373,0
81,178.661,1655126833,7240,17,5,4.27,34166,0
82,179.163,1655134073,7240,18,5,4.317,34540,0
83,179.747,1655141313,7240,18,5,4.36,34887,0
84,180.019,1655148553,2896,18,5,4.415,35326,0
85,182.325,1655151449,1448,18,5,4.394,35155,0
86,183.049,1655152897,7240,18,5,4.298,34385,0
87,183.53,1655160137,7240,19,5,4.265,34122,0
88,184.141,1655167377,7240,19,5,4.267,34141,0
89,186.946,1655174617,5792,19,5,4.36,34885,0
90,187.552,1655180409,7240,19,5,4.358,34865,0
91,188.026,1655187649,7240,20,5,4.363,34904,0
92,188.639,1655194889,7240,20,5,4.392,35141,0
93,188.751,1655202129,1448,20,5,4.419,35356,0
94,191.567,1655203577,2896,20,5,4.444,35555,0
95,192.292,1655206473,7240,20,5,4.527,36223,0
96,192.898,1655213713,7240,21,5,4.613,36909,0
97,193.272,1655220953,7240,21,5,4.656,37255,0
