,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,2370077723,0,10,2147483647,0.0,0,0
1,8.55,2370077724,0,10,2147483647,8.538,68304,0
2,8.585,2370077724,37,10,2147483647,8.538,68304,0
3,12.747,2370077761,0,10,2147483647,7.989,63915,0
4,12.825,2370077761,4,10,2147483647,7.989,63915,0
5,58.047,2370077765,136,10,2147483647,12.642,101137,0
6,62.241,502431766,0,10,2147483647,0.0,0,0
7,66.392,502431767,0,10,2147483647,4.14,33120,0
8,66.416,502431767,37,10,2147483647,4.14,33120,0
9,103.969,2370077901,0,10,2147483647,11.574,92593,0
10,108.057,2370077901,0,10,2147483647,11.574,92593,0
11,108.096,502431804,5792,10,2147483647,4.137,33102,0
12,108.106,502437596,5792,10,2147483647,4.137,33102,0
13,108.108,502443388,2896,10,2147483647,4.137,33102,0
14,112.371,502446284,1448,10,2147483647,4.154,33234,1
15,112.605,502431804,1448,8,7,4.224,33796,3
16,113.577,502447732,1448,7,7,4.503,36031,3
17,113.711,502449180,1448,7,7,4.64,37127,3
18,113.823,502450628,1448,7,7,4.774,38198,3
19,113.95,502452076,1448,7,7,4.908,39265,3
20,114.07,502453524,1448,7,7,5.039,40316,3
21,116.399,502454972,1448,7,7,4.912,39302,3
22,117.621,502456420,2896,7,7,4.703,37630,0
23,117.855,502459316,2896,7,7,4.546,36372,0
24,120.446,502462212,2896,8,7,4.718,37751,0
25,120.45,502465108,2896,8,7,4.718,37751,0
26,121.699,502468004,2896,8,7,4.637,37099,0
27,121.958,502470900,2896,8,7,4.569,36559,0
28,124.576,502473796,2896,8,7,4.514,36112,0
29,124.801,502476692,2896,8,7,4.493,35949,0
30,125.737,502479588,2896,8,7,4.436,35490,0
31,126.018,502482484,2896,8,7,4.388,35108,0
32,128.649,502485380,2896,8,7,4.348,34787,0
33,128.901,502488276,2896,8,7,4.316,34531,0
34,129.849,502491172,2896,8,7,4.29,34320,0
35,130.084,502494068,2896,8,7,4.26,34082,0
36,132.706,502496964,2896,8,7,4.234,33873,0
37,132.956,502499860,2896,8,7,4.191,33532,0
38,133.9,502502756,2896,8,7,4.157,33260,0
39,134.128,502505652,2896,8,7,4.129,33037,0
40,136.866,502508548,1448,8,7,4.132,33062,0
41,136.991,502509996,1448,8,7,4.151,33211,0
42,137.228,502511444,2896,8,7,4.165,33321,0
43,138.079,502514340,2896,8,7,4.158,33264,0
44,138.321,502517236,2896,8,7,4.152,33219,0
45,140.907,502520132,1448,8,7,4.137,33100,0
46,141.283,502521580,2896,8,7,4.116,32928,0
47,142.232,502524476,2896,8,7,4.114,32917,0
48,142.472,502527372,2896,8,7,4.137,33096,0
49,142.593,502530268,1448,8,7,4.153,33228,0
50,144.96,502531716,1448,8,7,4.14,33124,0
51,145.343,502533164,2896,8,7,4.12,32962,0
52,146.668,502536060,1448,8,7,4.159,33274,0
53,146.9,502537508,2896,8,7,4.235,33885,0
54,147.145,502540404,2896,8,7,4.308,34470,0
55,149.006,502543300,1448,8,7,4.275,34203,0
56,149.384,502544748,2896,8,7,4.219,33753,0
57,150.929,502547644,1448,8,7,4.223,33790,0
58,151.17,502549092,2896,8,7,4.222,33776,0
59,151.427,502551988,2896,8,7,4.22,33764,0
60,153.042,502554884,2896,9,7,4.196,33572,0
61,153.426,502557780,4344,10,7,4.158,33271,0
62,155.077,502562124,2896,11,7,4.157,33258,0
63,155.325,502565020,4344,12,7,4.144,33155,0
64,155.475,502569364,1448,12,7,4.129,33036,0
65,157.084,502570812,4344,13,7,4.117,32943,0
66,157.572,502575156,5792,13,7,4.098,32789,0
67,159.32,502580948,1448,13,7,4.115,32926,0
68,159.77,502582396,4344,13,7,4.205,33644,0
69,161.135,502586740,4344,13,7,4.208,33667,0
70,161.63,502591084,4344,13,7,4.188,33511,0
71,161.858,502595428,4344,13,7,4.185,33487,0
72,163.698,502599772,1448,13,7,4.209,33677,0
73,164.058,502601220,4344,13,7,4.2,33600,0
74,165.381,502605564,1448,13,7,4.204,33638,0
75,165.741,502607012,4344,13,7,4.239,33917,0
76,166.109,502611356,4344,13,7,4.254,34032,0
77,167.855,502615700,4344,13,7,4.278,34227,0
78,168.217,502620044,4344,13,7,4.212,33698,0
79,169.556,502624388,1448,13,7,4.207,33657,0
80,170.14,502625836,5792,13,7,4.151,33214,0
81,172.128,502631628,4344,13,7,4.158,33266,0
82,172.49,502635972,4344,13,7,4.233,33871,0
83,173.826,502640316,4344,13,7,4.283,34269,0
84,174.297,502644660,4344,13,7,4.217,33743,0
85,174.437,502649004,1448,13,7,4.224,33796,0
86,176.179,502650452,1448,13,7,4.202,33617,0
87,176.537,502651900,5792,13,7,4.15,33202,0
88,178.224,502657692,2896,13,7,4.181,33453,0
89,178.578,502660588,4344,13,7,4.274,34196,0
90,178.965,502664932,4344,13,7,4.345,34767,0
91,180.211,502669276,1448,13,7,4.306,34450,0
92,180.68,502670724,4344,13,7,4.229,33832,0
93,182.5,502675068,2896,13,7,4.237,33903,0
94,182.878,502677964,4344,13,7,4.253,34029,0
95,183.229,502682308,4344,13,7,4.261,34092,0
96,184.268,502686652,2896,13,7,4.248,33985,0
97,184.823,502689548,4344,13,7,4.191,33528,0
98,186.649,502693892,1448,13,7,4.185,33483,0
99,187.131,502695340,4344,13,7,4.179,33436,0
100,187.494,502699684,5792,13,7,4.17,33365,0
101,188.312,502705476,5792,15,7,4.139,33115,0
102,188.865,502711268,4344,16,7,4.115,32925,0
103,190.781,502715612,4344,17,7,4.122,32978,0
104,191.538,502719956,7240,19,7,4.101,32809,0
105,192.625,502727196,8688,20,7,4.146,33170,0
