,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,1266847821,0,10,2147483647,0.0,0,0
1,7.793,1266847822,0,10,2147483647,7.787,62296,0
2,7.815,1266847822,37,10,2147483647,7.787,62296,0
3,11.968,1266847859,0,10,2147483647,7.326,58608,0
4,12.06,1266847859,4,10,2147483647,7.326,58608,0
5,58.337,1266847863,136,10,2147483647,12.193,97548,0
6,62.514,1289644608,0,10,2147483647,0.0,0,0
7,66.613,1289644609,0,10,2147483647,4.089,32712,0
8,66.637,1289644609,37,10,2147483647,4.089,32712,0
9,104.313,1266847999,0,10,2147483647,11.182,89458,0
10,108.436,1266847999,0,10,2147483647,11.182,89458,0
11,108.464,1289644646,7240,10,2147483647,4.085,32680,0
12,108.474,1289651886,7240,10,2147483647,4.085,32680,0
13,112.874,1289659126,1448,10,2147483647,4.125,33001,1
14,113.096,1289644646,1448,8,7,4.231,33851,3
15,113.951,1289660574,1448,7,7,4.445,35565,3
16,114.088,1289662022,1448,7,7,4.589,36715,3
17,114.195,1289663470,1448,7,7,4.73,37842,3
18,114.321,1289664918,1448,7,7,4.869,38955,3
19,114.436,1289666366,1448,7,7,5.005,40043,3
20,116.908,1289667814,1448,7,7,4.883,39067,3
21,117.997,1289669262,2896,7,7,4.681,37453,0
22,118.248,1289672158,2896,7,7,4.534,36277,0
23,120.95,1289675054,2896,8,7,4.725,37801,0
24,120.96,1289677950,2896,8,7,4.725,37801,0
25,122.135,1289680846,2896,8,7,4.65,37205,0
26,122.377,1289683742,2896,8,7,4.584,36679,0
27,124.997,1289686638,2896,8,7,4.517,36136,0
28,125.226,1289689534,2896,8,7,4.486,35891,0
29,126.18,1289692430,2896,8,7,4.43,35446,0
30,126.417,1289695326,2896,8,7,4.381,35051,0
31,129.044,1289698222,2896,8,7,4.338,34710,0
32,129.401,1289701118,2896,8,7,4.317,34541,0
33,130.346,1289704014,2896,8,7,4.298,34386,0
34,130.601,1289706910,2896,8,7,4.283,34267,0
35,133.079,1289709806,1448,8,7,4.251,34013,0
36,133.437,1289711254,2896,8,7,4.201,33611,0
37,134.404,1289714150,2896,8,7,4.165,33324,0
38,134.639,1289717046,2896,8,7,4.138,33108,0
39,134.655,1289719942,1448,8,7,4.127,33022,0
40,137.309,1289721390,1448,8,7,4.117,32940,0
41,137.489,1289722838,1448,8,7,4.108,32870,0
42,138.506,1289724286,2896,8,7,4.103,32829,0
43,138.684,1289727182,2896,8,7,4.096,32774,0
44,138.815,1289730078,2896,8,7,4.099,32796,0
45,141.345,1289732974,1448,8,7,4.091,32728,0
46,142.581,1289734422,2896,8,7,4.084,32673,0
47,142.821,1289737318,2896,8,7,4.102,32821,0
48,143.06,1289740214,2896,8,7,4.137,33103,0
49,143.185,1289743110,1448,8,7,4.166,33333,0
50,145.385,1289744558,1448,8,7,4.15,33201,0
51,146.887,1289746006,1448,8,7,4.169,33353,0
52,147.113,1289747454,2896,8,7,4.211,33688,0
53,147.353,1289750350,2896,8,7,4.243,33947,0
54,147.596,1289753246,2896,8,7,4.283,34268,0
55,149.411,1289756142,1448,8,7,4.25,34007,0
56,151.243,1289757590,1448,8,7,4.263,34109,0
57,151.483,1289759038,2896,8,7,4.275,34203,0
58,151.728,1289761934,2896,8,7,4.284,34279,0
59,151.966,1289764830,2896,8,7,4.291,34330,0
60,153.44,1289767726,2896,9,7,4.257,34059,0
61,155.396,1289770622,2896,10,7,4.243,33946,0
62,155.639,1289773518,4344,11,7,4.208,33667,0
63,155.874,1289777862,4344,12,7,4.18,33440,0
64,156.03,1289782206,1448,12,7,4.16,33286,0
65,157.486,1289783654,4344,13,7,4.144,33157,0
66,159.552,1289787998,2896,13,7,4.136,33090,0
67,160.032,1289790894,4344,13,7,4.194,33559,0
68,160.298,1289795238,4344,13,7,4.23,33844,0
69,161.523,1289799582,4344,13,7,4.261,34094,0
70,161.635,1289803926,2896,13,7,4.224,33793,0
71,163.835,1289806822,1448,13,7,4.23,33843,0
72,164.186,1289808270,4344,13,7,4.214,33712,0
73,164.554,1289812614,4344,13,7,4.215,33720,0
74,165.63,1289816958,2896,13,7,4.219,33752,0
75,165.966,1289819854,4344,13,7,4.253,34026,0
76,168.008,1289824198,2896,13,7,4.265,34121,0
77,168.343,1289827094,4344,13,7,4.208,33665,0
78,169.754,1289831438,5792,13,7,4.162,33299,0
79,170.235,1289837230,5792,13,7,4.169,33353,0
80,172.042,1289843022,1448,13,7,4.151,33211,0
81,172.391,1289844470,4344,13,7,4.124,32994,0
82,174.121,1289848814,2896,13,7,4.158,33266,0
83,174.434,1289851710,4344,13,7,4.294,34359,0
84,174.799,1289856054,4344,13,7,4.345,34765,0
85,176.321,1289860398,2896,13,7,4.373,34986,0
86,176.683,1289863294,4344,13,7,4.307,34457,0
87,178.168,1289867638,1448,13,7,4.273,34188,0
88,178.486,1289869086,4344,13,7,4.204,33639,0
89,178.965,1289873430,5792,13,7,4.163,33306,0
90,180.607,1289879222,1448,13,7,4.177,33421,0
91,180.962,1289880670,4344,13,7,4.208,33669,0
92,182.218,1289885014,2896,13,7,4.208,33671,0
93,183.015,1289887910,5792,13,7,4.152,33219,0
94,185.061,1289893702,4344,13,7,4.196,33571,0
95,185.305,1289898046,4344,13,7,4.216,33732,0
96,186.275,1289902390,4344,13,7,4.2,33606,0
97,187.305,1289906734,4344,13,7,4.18,33440,0
98,189.129,1289911078,4344,14,7,4.163,33307,0
99,189.461,1289915422,5792,16,7,4.174,33399,0
100,190.424,1289921214,7240,17,7,4.204,33637,0
101,191.372,1289928454,7240,19,7,4.213,33706,0
102,193.639,1289935694,5792,20,7,4.231,33851,0
103,194.24,1289941486,7240,20,7,4.447,35583,0
104,195.207,1289948726,7240,20,7,4.552,36420,0
105,195.811,1289955966,7240,20,7,4.463,35711,0
106,197.917,1289963206,2896,20,7,4.447,35580,0
107,198.478,1289966102,7240,20,7,4.396,35173,0
108,199.575,1289973342,5792,20,7,4.421,35372,0
109,200.17,1289979134,7240,20,7,4.514,36118,0
110,202.719,1289986374,7240,20,7,4.612,36902,0
111,203.334,1289993614,7240,20,7,4.669,37353,0
112,203.938,1290000854,7240,20,7,4.501,36010,0
113,204.56,1290008094,7240,20,7,4.354,34838,0
114,206.766,1290015334,1448,20,7,4.315,34525,0
115,207.373,1290016782,7240,20,7,4.256,34054,0
116,207.98,1290024022,7240,20,7,4.223,33785,0
117,208.597,1290031262,7240,20,7,4.207,33661,0
118,209.038,1266847999,1,10,2147483647,11.182,89458,0
119,210.807,1290038502,7240,20,7,4.195,33565,0
120,211.76,1290045742,7240,20,7,4.197,33583,0
121,212.347,1290052982,5792,20,7,4.188,33504,0
122,212.869,1290058774,7240,20,7,4.183,33471,0
123,213.168,1266848000,0,10,2147483647,10.3,82406,0
124,213.236,1266848000,4,10,2147483647,10.3,82406,0
125,258.324,1266848004,281,10,2147483647,14.647,117180,0
126,304.255,1266848285,0,10,2147483647,13.329,106634,0
127,308.341,1266848285,0,10,2147483647,13.329,106634,0
128,308.457,1266848285,1,10,2147483647,13.329,106634,0
129,308.47,1266848286,0,10,2147483647,13.329,106634,0
130,312.541,1266848287,0,10,2147483647,12.172,97380,0
