,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,2454422783,0,10,2147483647,0.0,0,0
1,0.054,2454422784,0,10,2147483647,0.045,360,0
2,0.085,2454422784,37,10,2147483647,0.045,360,0
3,0.166,2454422821,0,10,2147483647,0.043,351,0
4,0.191,2454422821,4,10,2147483647,0.043,351,0
5,46.652,2454422825,136,10,2147483647,5.845,46760,0
6,46.86,1488599781,0,10,2147483647,0.0,0,0
7,46.942,1488599782,0,10,2147483647,0.075,600,0
8,46.972,1488599782,37,10,2147483647,0.075,600,0
9,90.594,2454422961,0,10,2147483647,5.119,40958,0
10,90.814,2454422961,0,10,2147483647,5.119,40958,0
11,90.84,1488599819,7240,10,2147483647,0.069,552,0
12,90.86,1488607059,7240,10,2147483647,0.069,552,0
13,91.487,1488599819,1448,7,7,0.224,1795,3
14,91.631,1488614299,1448,7,7,0.295,2361,3
15,91.748,1488615747,1448,7,7,0.368,2951,3
16,91.854,1488617195,1448,7,7,0.446,3575,3
17,91.977,1488618643,1448,7,7,0.53,4243,3
18,92.099,1488620091,1448,7,7,0.618,4949,3
19,92.22,1488621539,1448,7,7,0.71,5687,3
20,93.306,1488622987,4344,7,7,1.031,8255,0
21,93.668,1488627331,4344,7,7,1.21,9682,0
22,94.521,1488631675,4344,8,7,1.346,10770,0
23,95.002,1488636019,5792,8,7,1.356,10849,0
24,95.127,1488641811,1448,8,7,1.368,10948,0
25,96.212,1488643259,4344,8,7,1.438,11506,0
26,96.576,1488647603,4344,8,7,1.446,11572,0
27,96.818,1488651947,2896,8,7,1.504,12035,0
28,97.909,1488654843,2896,8,7,1.536,12289,0
29,98.272,1488657739,4344,8,7,1.587,12698,0
30,98.642,1488662083,4344,8,7,1.65,13201,0
31,99.731,1488666427,1448,8,7,1.671,13368,0
32,100.091,1488667875,4344,8,7,1.718,13744,0
33,100.454,1488672219,4344,8,7,1.747,13982,0
34,100.581,1488676563,1448,8,7,1.771,14169,0
35,101.787,1488678011,1448,8,7,1.806,14452,0
36,102.15,1488679459,4344,8,7,1.852,14823,0
37,102.513,1488683803,4344,8,7,1.883,15071,0
38,102.642,1488688147,2896,9,7,1.905,15243,0
39,103.967,1488691043,1448,9,7,1.939,15514,0
40,104.33,1488692491,4344,9,7,1.982,15856,0
41,104.693,1488696835,5792,10,7,2.01,16082,0
42,104.936,1488702627,2896,10,7,2.063,16506,0
43,106.276,1488705523,1448,10,7,2.093,16746,0
44,106.756,1488706971,5792,10,7,2.117,16939,0
45,107.238,1488712763,5792,10,7,2.196,17568,0
46,107.365,1488718555,1448,10,7,2.224,17796,0
47,108.935,1488720003,1448,10,7,2.278,18227,0
48,109.417,1488721451,5792,10,7,2.369,18957,0
49,109.901,1488727243,5792,10,7,2.405,19246,0
50,110.037,1488733035,1448,10,7,2.438,19510,0
51,111.515,1488734483,4344,11,7,2.455,19642,0
52,112.099,1488738827,7240,11,7,2.405,19240,0
53,114.199,1488746067,7240,12,7,2.627,21020,0
54,114.668,1488753307,5792,12,7,2.646,21168,0
55,115.021,1488759099,4344,12,7,2.696,21573,0
56,116.935,1488763443,2896,12,7,2.701,21609,0
57,117.533,1488766339,7240,12,7,2.79,22326,0
58,118.048,1488773579,5792,12,7,2.854,22837,0
59,118.157,1488779371,1448,12,7,2.889,23113,0
60,119.993,1488780819,2896,12,7,2.908,23270,0
61,120.449,1488783715,5792,12,7,2.884,23076,0
62,121.052,1488789507,7240,12,7,2.9,23201,0
63,123.258,1488796747,4344,13,7,3.174,25396,0
64,123.392,1488801091,1448,13,7,3.199,25597,0
65,124.108,1488802539,8688,13,7,3.199,25592,0
66,124.443,1488811227,5792,14,7,3.231,25853,0
67,126.63,1488817019,2896,14,7,3.248,25987,0
68,127.222,1488819915,7240,14,7,3.291,26330,0
69,127.855,1488827155,7240,14,7,3.335,26681,0
70,128.11,1488834395,2896,14,7,3.375,27003,0
71,130.152,1488837291,2896,14,7,3.393,27145,0
72,130.765,1488840187,7240,14,7,3.39,27123,0
73,131.363,1488847427,7240,14,7,3.381,27049,0
74,131.605,1488854667,2896,14,7,3.394,27157,0
75,134.163,1488857563,2896,14,7,3.47,27765,0
76,134.663,1488860459,7240,15,7,3.539,28317,0
77,135.234,1488867699,7240,15,7,3.635,29085,0
78,135.596,1488874939,4344,15,7,3.719,29755,0
79,138.028,1488879283,2896,15,7,3.737,29897,0
80,138.643,1488882179,8688,16,7,3.762,30096,0
81,139.476,1488890867,10136,16,7,3.802,30417,0
82,139.622,1488901003,1448,16,7,3.829,30637,0
83,141.769,1488902451,2896,16,7,3.817,30543,0
84,142.486,1488905347,8688,16,7,3.752,30020,0
85,143.211,1488914035,8688,16,7,3.673,29389,0
86,146.14,1488922723,4344,16,7,4.048,32388,0
87,146.736,1488927067,7240,16,7,4.108,32865,0
88,147.496,1488934307,8688,16,7,4.153,33224,0
89,147.702,1488942995,2896,16,7,4.194,33558,0
90,150.137,1488945891,2896,16,7,4.169,33358,0
91,150.749,1488948787,8688,17,7,4.098,32786,0
92,151.571,1488957475,10136,17,7,4.021,32169,0
93,151.816,1488967611,2896,17,7,4.032,32257,0
94,154.865,1488970507,2896,17,7,4.117,32940,0
95,155.582,1488973403,8688,17,7,4.279,34233,0
96,156.305,1488982091,8688,17,7,4.355,34843,0
97,156.671,1488990779,4344,17,7,4.471,35771,0
98,159.378,1488995123,2896,17,7,4.474,35797,0
99,159.6,1488998019,2896,17,7,4.417,35336,0
100,160.3,1489000915,8688,17,7,4.352,34821,0
101,161.026,1489009603,8688,17,7,4.355,34840,0
102,161.148,1489018291,1448,17,7,4.369,34959,0
103,162.152,1489019739,2896,17,7,4.17,33360,0
104,162.88,1489022635,10136,18,7,3.636,29091,0
105,163.609,1489032771,8688,18,7,3.283,26270,0
106,164.199,1489041459,7240,18,7,3.043,24345,0
107,164.489,2454422961,1,10,2147483647,5.119,40958,0
108,164.924,1489048699,10136,19,7,2.64,21124,0
109,165.514,1489058835,7240,19,7,2.395,19161,0
110,166.362,1489066075,10136,19,7,2.251,18008,0
111,166.614,2454422962,0,10,2147483647,4.745,37961,0
112,166.655,2454422962,4,10,2147483647,4.745,37961,0
113,214.629,2454422966,281,10,2147483647,10.147,81178,0
114,258.529,2454423247,0,10,2147483647,8.884,71073,0
115,258.575,2454423247,0,10,2147483647,8.884,71073,0
116,258.662,2454423247,1,10,2147483647,8.884,71073,0
117,258.688,2454423248,0,10,2147483647,8.884,71073,0
118,258.733,2454423249,0,10,2147483647,7.781,62253,0
