time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
12:04:40.152707,192.168.0.1:40844,10.0.0.2:5201,0,2471846529,0,10,2147483647,0,42340,0
12:04:40.152713,192.168.0.1:34172,10.0.0.2:5202,0,836788969,0,10,2147483647,0,42340,0
12:04:40.152853,192.168.0.1:34172,10.0.0.2:5202,0,836788970,1063750515,10,2147483647,1000,42496,0
12:04:40.152866,192.168.0.1:34172,10.0.0.2:5202,37,836788970,1063750515,10,2147483647,1000,42496,0
12:04:40.152878,192.168.0.1:40844,10.0.0.2:5201,0,2471846530,4032971203,10,2147483647,1400,42496,0
12:04:40.152905,192.168.0.1:40844,10.0.0.2:5201,37,2471846530,4032971203,10,2147483647,1400,42496,0
12:04:40.152918,192.168.0.1:34172,10.0.0.2:5202,0,836789007,1063750516,10,2147483647,908,42496,0
12:04:40.152944,192.168.0.1:34172,10.0.0.2:5202,4,836789007,1063750516,10,2147483647,908,42496,0
12:04:40.152979,192.168.0.1:40844,10.0.0.2:5201,0,2471846567,4032971204,10,2147483647,1245,42496,0
12:04:40.153010,192.168.0.1:40844,10.0.0.2:5201,4,2471846567,4032971204,10,2147483647,1245,42496,0
12:04:40.194565,192.168.0.1:34172,10.0.0.2:5202,136,836789011,1063750516,10,2147483647,42403,42496,0
12:04:40.194597,192.168.0.1:40844,10.0.0.2:5201,135,2471846571,4032971204,10,2147483647,42676,42496,0
12:04:40.194900,192.168.0.1:34188,10.0.0.2:5202,0,2483036724,0,10,2147483647,0,42340,0
12:04:40.194900,192.168.0.1:40850,10.0.0.2:5201,0,1094306729,0,10,2147483647,0,42340,0
12:04:40.194988,192.168.0.1:34188,10.0.0.2:5202,0,2483036725,3416621097,10,2147483647,608,42496,0
12:04:40.195019,192.168.0.1:34188,10.0.0.2:5202,37,2483036725,3416621097,10,2147483647,608,42496,0
12:04:40.195038,192.168.0.1:40850,10.0.0.2:5201,0,1094306730,2618652876,10,2147483647,1088,42496,0
12:04:40.195066,192.168.0.1:40850,10.0.0.2:5201,37,1094306730,2618652876,10,2147483647,1088,42496,0
12:04:40.238471,192.168.0.1:34172,10.0.0.2:5202,0,836789147,1063750517,10,2147483647,37179,42496,0
12:04:40.238471,192.168.0.1:40844,10.0.0.2:5201,0,2471846706,4032971205,10,2147483647,37390,42496,0
12:04:40.238559,192.168.0.1:34172,10.0.0.2:5202,0,836789147,1063750519,10,2147483647,37179,42496,0
12:04:40.238564,192.168.0.1:40844,10.0.0.2:5201,0,2471846706,4032971207,10,2147483647,37390,42496,0
12:04:40.238588,192.168.0.1:40850,10.0.0.2:5201,7240,1094306767,2618652876,10,2147483647,972,42496,0
12:04:40.238607,192.168.0.1:34188,10.0.0.2:5202,7240,2483036762,3416621097,10,2147483647,562,42496,0
12:04:40.238616,192.168.0.1:34188,10.0.0.2:5202,7240,2483044002,3416621097,10,2147483647,562,42496,0
12:04:40.238641,192.168.0.1:40850,10.0.0.2:5201,7240,1094314007,2618652876,10,2147483647,972,42496,0
12:04:40.238745,192.168.0.1:40850,10.0.0.2:5201,1448,1094306767,2618652876,7,5,938,42496,3
12:04:40.239217,192.168.0.1:34188,10.0.0.2:5202,1448,2483036762,3416621097,7,7,1703,42496,3
12:04:40.239358,192.168.0.1:34188,10.0.0.2:5202,1448,2483051242,3416621097,7,7,2239,42496,3
12:04:40.239466,192.168.0.1:34188,10.0.0.2:5202,1448,2483052690,3416621097,7,7,2807,42496,3
12:04:40.239586,192.168.0.1:34188,10.0.0.2:5202,1448,2483054138,3416621097,7,7,3425,42496,3
12:04:40.239729,192.168.0.1:34188,10.0.0.2:5202,1448,2483055586,3416621097,7,7,4103,42496,3
12:04:40.239861,192.168.0.1:34188,10.0.0.2:5202,1448,2483057034,3416621097,7,7,4829,42496,3
12:04:40.239967,192.168.0.1:34188,10.0.0.2:5202,1448,2483058482,3416621097,7,7,5571,42496,3
12:04:40.240191,192.168.0.1:40850,10.0.0.2:5201,1448,1094321247,2618652876,5,5,3643,42496,3
12:04:40.240320,192.168.0.1:40850,10.0.0.2:5201,1448,1094322695,2618652876,5,5,4863,42496,3
12:04:40.240435,192.168.0.1:40850,10.0.0.2:5201,1448,1094324143,2618652876,5,5,6048,42496,3
12:04:40.240554,192.168.0.1:40850,10.0.0.2:5201,1448,1094325591,2618652876,5,5,7203,42496,3
12:04:40.240685,192.168.0.1:40850,10.0.0.2:5201,1448,1094327039,2618652876,5,5,8303,42496,0
12:04:40.241041,192.168.0.1:34188,10.0.0.2:5202,4344,2483059930,3416621097,7,7,8202,42496,0
