,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,3371051551,0,10,2147483647,0.0,0,0
1,0.127,3371051552,0,10,2147483647,0.127,1016,0
2,0.162,3371051552,37,10,2147483647,0.127,1016,0
3,0.211,3371051589,0,10,2147483647,0.113,909,0
4,0.241,3371051589,4,10,2147483647,0.113,909,0
5,46.564,3371051593,135,10,2147483647,5.888,47110,0
6,46.798,1674809612,0,10,2147483647,0.0,0,0
7,46.833,1674809613,0,10,2147483647,0.031,248,0
8,46.851,1674809613,37,10,2147483647,0.031,248,0
9,90.487,3371051728,0,10,2147483647,5.16,41280,0
10,91.345,3371051728,0,10,2147483647,5.16,41280,0
11,91.372,1674809650,7240,10,2147483647,0.028,228,0
12,91.401,1674816890,7240,10,2147483647,0.028,228,0
13,92.438,1674824130,2896,10,2147483647,0.258,2068,1
14,92.559,1674809650,1448,9,5,0.374,2995,3
15,92.8,1674827026,1448,8,5,0.604,4834,3
16,93.04,1674828474,1448,7,5,0.833,6670,3
17,94.257,1674829922,1448,5,5,1.16,9280,3
18,94.373,1674831370,1448,5,5,1.256,10053,3
19,94.63,1674832818,2896,5,5,1.409,11276,0
20,94.752,1674835714,1448,5,5,1.447,11578,0
21,96.071,1674837162,1448,5,5,1.492,11943,0
22,96.31,1674838610,4344,6,5,1.548,12386,0
23,96.553,1674842954,2896,6,5,1.61,12880,0
24,98.298,1674845850,1448,6,5,1.686,13495,0
25,98.548,1674847298,4344,7,5,1.801,14412,0
26,98.901,1674851642,4344,7,5,1.982,15862,0
27,100.475,1674855986,1448,7,5,2.007,16056,0
28,100.837,1674857434,5792,8,5,2.064,16515,0
29,101.2,1674863226,4344,8,5,2.105,16846,0
30,102.675,1674867570,1448,8,5,2.117,16939,0
31,103.022,1674869018,4344,8,5,2.102,16821,0
32,103.263,1674873362,4344,9,5,2.119,16956,0
33,103.505,1674877706,2896,9,5,2.149,17194,0
34,105.442,1674880602,1448,9,5,2.226,17811,0
