time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
12:06:42.455983,192.168.0.1:50292,10.0.0.2:5201,0,3371051551,0,10,2147483647,0,42340,0
12:06:42.456110,192.168.0.1:50292,10.0.0.2:5201,0,3371051552,797505087,10,2147483647,1016,42496,0
12:06:42.456145,192.168.0.1:50292,10.0.0.2:5201,37,3371051552,797505087,10,2147483647,1016,42496,0
12:06:42.456194,192.168.0.1:50292,10.0.0.2:5201,0,3371051589,797505088,10,2147483647,909,42496,0
12:06:42.456224,192.168.0.1:50292,10.0.0.2:5201,4,3371051589,797505088,10,2147483647,909,42496,0
12:06:42.456429,192.168.0.1:39660,10.0.0.2:5202,0,393680682,0,10,2147483647,0,42340,0
12:06:42.456488,192.168.0.1:39660,10.0.0.2:5202,0,393680683,1094288261,10,2147483647,392,42496,0
12:06:42.456524,192.168.0.1:39660,10.0.0.2:5202,37,393680683,1094288261,10,2147483647,392,42496,0
12:06:42.456577,192.168.0.1:39660,10.0.0.2:5202,0,393680720,1094288262,10,2147483647,365,42496,0
12:06:42.456599,192.168.0.1:39660,10.0.0.2:5202,4,393680720,1094288262,10,2147483647,365,42496,0
12:06:42.498574,192.168.0.1:39660,10.0.0.2:5202,136,393680724,1094288262,10,2147483647,42279,42496,0
12:06:42.498815,192.168.0.1:39676,10.0.0.2:5202,0,4030290432,0,10,2147483647,0,42340,0
12:06:42.498894,192.168.0.1:39676,10.0.0.2:5202,0,4030290433,878698750,10,2147483647,576,42496,0
12:06:42.498933,192.168.0.1:39676,10.0.0.2:5202,37,4030290433,878698750,10,2147483647,576,42496,0
12:06:42.502547,192.168.0.1:50292,10.0.0.2:5201,135,3371051593,797505088,10,2147483647,47110,42496,0
12:06:42.502781,192.168.0.1:50302,10.0.0.2:5201,0,1674809612,0,10,2147483647,0,42340,0
12:06:42.502816,192.168.0.1:50302,10.0.0.2:5201,0,1674809613,2076518369,10,2147483647,248,42496,0
12:06:42.502834,192.168.0.1:50302,10.0.0.2:5201,37,1674809613,2076518369,10,2147483647,248,42496,0
12:06:42.542473,192.168.0.1:39660,10.0.0.2:5202,0,393680860,1094288263,10,2147483647,37073,42496,0
12:06:42.542530,192.168.0.1:39660,10.0.0.2:5202,0,393680860,1094288265,10,2147483647,37073,42496,0
12:06:42.542559,192.168.0.1:39676,10.0.0.2:5202,7240,4030290470,878698750,10,2147483647,522,42496,0
12:06:42.542623,192.168.0.1:39676,10.0.0.2:5202,7240,4030297710,878698750,10,2147483647,522,42496,0
12:06:42.542719,192.168.0.1:39676,10.0.0.2:5202,1448,4030290470,878698750,7,7,705,42496,3
12:06:42.542846,192.168.0.1:39676,10.0.0.2:5202,1448,4030304950,878698750,7,7,900,42496,3
12:06:42.542962,192.168.0.1:39676,10.0.0.2:5202,1448,4030306398,878698750,7,7,1121,42496,3
12:06:42.543082,192.168.0.1:39676,10.0.0.2:5202,1448,4030307846,878698750,7,7,1435,42496,3
12:06:42.543203,192.168.0.1:39676,10.0.0.2:5202,1448,4030309294,878698750,7,7,1830,42496,3
12:06:42.543326,192.168.0.1:39676,10.0.0.2:5202,1448,4030310742,878698750,7,7,2300,42496,3
12:06:42.543446,192.168.0.1:39676,10.0.0.2:5202,1448,4030312190,878698750,7,7,2830,42496,3
12:06:42.543815,192.168.0.1:39676,10.0.0.2:5202,4344,4030313638,878698750,7,7,4252,42496,0
12:06:42.544192,192.168.0.1:39676,10.0.0.2:5202,4344,4030317982,878698750,7,7,5102,42496,0
12:06:42.544421,192.168.0.1:39676,10.0.0.2:5202,4344,4030322326,878698750,8,7,5434,42496,0
12:06:42.544783,192.168.0.1:39676,10.0.0.2:5202,4344,4030326670,878698750,8,7,5485,42496,0
12:06:42.545142,192.168.0.1:39676,10.0.0.2:5202,5792,4030331014,878698750,9,7,5655,42496,0
12:06:42.545502,192.168.0.1:39676,10.0.0.2:5202,4344,4030336806,878698750,9,7,5987,42496,0
12:06:42.545871,192.168.0.1:39676,10.0.0.2:5202,4344,4030341150,878698750,9,7,6226,42496,0
12:06:42.545989,192.168.0.1:39676,10.0.0.2:5202,2896,4030345494,878698750,10,7,6292,42496,0
12:06:42.546470,192.168.0.1:50292,10.0.0.2:5201,0,3371051728,797505089,10,2147483647,41280,42496,0
12:06:42.546486,192.168.0.1:39676,10.0.0.2:5202,5792,4030348390,878698750,10,7,6889,42496,0
12:06:42.546958,192.168.0.1:39676,10.0.0.2:5202,5792,4030354182,878698750,10,7,7358,42496,0
12:06:42.547328,192.168.0.1:50292,10.0.0.2:5201,0,3371051728,797505091,10,2147483647,41280,42496,0
12:06:42.547355,192.168.0.1:50302,10.0.0.2:5201,7240,1674809650,2076518369,10,2147483647,228,42496,0
12:06:42.547384,192.168.0.1:50302,10.0.0.2:5201,7240,1674816890,2076518369,10,2147483647,228,42496,0
12:06:42.547451,192.168.0.1:39676,10.0.0.2:5202,5792,4030359974,878698750,10,7,7685,42496,0
12:06:42.547829,192.168.0.1:39676,10.0.0.2:5202,4344,4030365766,878698750,10,7,7904,42496,0
12:06:42.548421,192.168.0.1:50302,10.0.0.2:5201,2896,1674824130,2076518369,10,2147483647,2068,42496,1
12:06:42.548542,192.168.0.1:50302,10.0.0.2:5201,1448,1674809650,2076518369,9,5,2995,42496,3
12:06:42.548783,192.168.0.1:50302,10.0.0.2:5201,1448,1674827026,2076518369,8,5,4834,42496,3
12:06:42.549023,192.168.0.1:50302,10.0.0.2:5201,1448,1674828474,2076518369,7,5,6670,42496,3
12:06:42.549392,192.168.0.1:39676,10.0.0.2:5202,5792,4030370110,878698750,10,7,9130,42496,0
12:06:42.549874,192.168.0.1:39676,10.0.0.2:5202,5792,4030375902,878698750,10,7,12464,42496,0
12:06:42.550131,192.168.0.1:39676,10.0.0.2:5202,2896,4030381694,878698750,10,7,13737,42496,0
12:06:42.550240,192.168.0.1:50302,10.0.0.2:5201,1448,1674829922,2076518369,5,5,9280,42496,3
12:06:42.550356,192.168.0.1:50302,10.0.0.2:5201,1448,1674831370,2076518369,5,5,10053,42496,3
12:06:42.550613,192.168.0.1:50302,10.0.0.2:5201,2896,1674832818,2076518369,5,5,11276,42496,0
12:06:42.550735,192.168.0.1:50302,10.0.0.2:5201,1448,1674835714,2076518369,5,5,11578,42496,0
12:06:42.551087,192.168.0.1:39676,10.0.0.2:5202,5792,4030384590,878698750,11,7,13374,42496,0
12:06:42.551450,192.168.0.1:39676,10.0.0.2:5202,5792,4030390382,878698750,12,7,13189,42496,0
12:06:42.551932,192.168.0.1:39676,10.0.0.2:5202,7240,4030396174,878698750,13,7,13520,42496,0
12:06:42.552054,192.168.0.1:50302,10.0.0.2:5201,1448,1674837162,2076518369,5,5,11943,42496,0
12:06:42.552293,192.168.0.1:50302,10.0.0.2:5201,4344,1674838610,2076518369,6,5,12386,42496,0
12:06:42.552536,192.168.0.1:50302,10.0.0.2:5201,2896,1674842954,2076518369,6,5,12880,42496,0
12:06:42.553168,192.168.0.1:39676,10.0.0.2:5202,4344,4030403414,878698750,13,7,13549,42496,0
12:06:42.553211,192.168.0.1:39676,10.0.0.2:5202,4344,4030407758,878698750,14,7,13982,42496,0
12:06:42.553814,192.168.0.1:39676,10.0.0.2:5202,8688,4030412102,878698750,15,7,14514,42496,0
12:06:42.554281,192.168.0.1:50302,10.0.0.2:5201,1448,1674845850,2076518369,6,5,13495,42496,0
12:06:42.554531,192.168.0.1:50302,10.0.0.2:5201,4344,1674847298,2076518369,7,5,14412,42496,0
12:06:42.554884,192.168.0.1:50302,10.0.0.2:5201,4344,1674851642,2076518369,7,5,15862,42496,0
12:06:42.555128,192.168.0.1:39676,10.0.0.2:5202,7240,4030420790,878698750,15,7,15257,42496,0
12:06:42.555853,192.168.0.1:39676,10.0.0.2:5202,8688,4030428030,878698750,15,7,16225,42496,0
12:06:42.556458,192.168.0.1:50302,10.0.0.2:5201,1448,1674855986,2076518369,7,5,16056,42496,0
12:06:42.556820,192.168.0.1:50302,10.0.0.2:5201,5792,1674857434,2076518369,8,5,16515,42496,0
12:06:42.557183,192.168.0.1:50302,10.0.0.2:5201,4344,1674863226,2076518369,8,5,16846,42496,0
12:06:42.557435,192.168.0.1:39676,10.0.0.2:5202,8688,4030436718,878698750,15,7,17119,42496,0
12:06:42.558034,192.168.0.1:39676,10.0.0.2:5202,7240,4030445406,878698750,15,7,17928,42496,0
12:06:42.558546,192.168.0.1:39676,10.0.0.2:5202,5792,4030452646,878698750,15,7,18542,42496,0
12:06:42.558658,192.168.0.1:50302,10.0.0.2:5201,1448,1674867570,2076518369,8,5,16939,42496,0
12:06:42.559005,192.168.0.1:50302,10.0.0.2:5201,4344,1674869018,2076518369,8,5,16821,42496,0
12:06:42.559246,192.168.0.1:50302,10.0.0.2:5201,4344,1674873362,2076518369,9,5,16956,42496,0
12:06:42.559488,192.168.0.1:50302,10.0.0.2:5201,2896,1674877706,2076518369,9,5,17194,42496,0
12:06:42.559736,192.168.0.1:39676,10.0.0.2:5202,2896,4030458438,878698750,15,7,18521,42496,0
12:06:42.560457,192.168.0.1:39676,10.0.0.2:5202,8688,4030461334,878698750,15,7,19202,42496,0
12:06:42.561064,192.168.0.1:39676,10.0.0.2:5202,7240,4030470022,878698750,15,7,19862,42496,0
12:06:42.561369,192.168.0.1:39676,10.0.0.2:5202,2896,4030477262,878698750,15,7,20148,42496,0
12:06:42.561425,192.168.0.1:50302,10.0.0.2:5201,1448,1674880602,2076518369,9,5,17811,42496,0
12:06:42.561786,192.168.0.1:50302,10.0.0.2:5201,4344,1674882050,2076518369,9,5,19000,42496,0
12:06:42.562031,192.168.0.1:50302,10.0.0.2:5201,4344,1674886394,2076518369,10,5,19656,42496,0
12:06:42.562404,192.168.0.1:50302,10.0.0.2:5201,4344,1674890738,2076518369,10,5,20758,42496,0
12:06:42.562651,192.168.0.1:39676,10.0.0.2:5202,4344,4030480158,878698750,16,7,20536,42496,0
12:06:42.563368,192.168.0.1:39676,10.0.0.2:5202,8688,4030484502,878698750,16,7,20841,42496,0
12:06:42.564208,192.168.0.1:39676,10.0.0.2:5202,11584,4030493190,878698750,17,7,21449,42496,0
12:06:42.564341,192.168.0.1:50302,10.0.0.2:5201,1448,1674895082,2076518369,10,5,21069,42496,0
12:06:42.564815,192.168.0.1:50302,10.0.0.2:5201,5792,1674896530,2076518369,10,5,21594,42496,0
12:06:42.565178,192.168.0.1:50302,10.0.0.2:5201,5792,1674902322,2076518369,11,5,22112,42496,0
12:06:42.565429,192.168.0.1:50302,10.0.0.2:5201,2896,1674908114,2076518369,11,5,22485,42496,0
12:06:42.565670,192.168.0.1:39676,10.0.0.2:5202,2896,4030504774,878698750,17,7,21783,42496,0
12:06:42.566538,192.168.0.1:39676,10.0.0.2:5202,10136,4030507670,878698750,17,7,22620,42496,0
12:06:42.567253,192.168.0.1:39676,10.0.0.2:5202,8688,4030517806,878698750,17,7,22597,42496,0
12:06:42.567611,192.168.0.1:50302,10.0.0.2:5201,1448,1674911010,2076518369,11,5,22942,42496,0
12:06:42.568107,192.168.0.1:50302,10.0.0.2:5201,5792,1674912458,2076518369,11,5,23545,42496,0
12:06:42.568578,192.168.0.1:50302,10.0.0.2:5201,7240,1674918250,2076518369,12,5,24181,42496,0
12:06:42.568821,192.168.0.1:50302,10.0.0.2:5201,2896,1674925490,2076518369,12,5,24548,42496,0
12:06:42.569065,192.168.0.1:39676,10.0.0.2:5202,5792,4030526494,878698750,17,7,23560,42496,0
12:06:42.569790,192.168.0.1:39676,10.0.0.2:5202,8688,4030532286,878698750,17,7,23773,42496,0
12:06:42.570148,192.168.0.1:39676,10.0.0.2:5202,4344,4030540974,878698750,17,7,24047,42496,0
12:06:42.570751,192.168.0.1:50302,10.0.0.2:5201,1448,1674928386,2076518369,12,5,24619,42496,0
12:06:42.571023,192.168.0.1:50302,10.0.0.2:5201,2896,1674929834,2076518369,12,5,24454,42496,0
12:06:42.571549,192.168.0.1:50302,10.0.0.2:5201,5792,1674932730,2076518369,12,5,24443,42496,0
12:06:42.572143,192.168.0.1:50302,10.0.0.2:5201,8688,1674938522,2076518369,13,5,24984,42496,0
12:06:42.572336,192.168.0.1:39676,10.0.0.2:5202,10136,4030545318,878698750,18,7,24732,42496,0
12:06:42.573049,192.168.0.1:39676,10.0.0.2:5202,10136,4030555454,878698750,19,7,25149,42496,0
12:06:42.573660,192.168.0.1:39676,10.0.0.2:5202,7240,4030565590,878698750,19,7,26001,42496,0
12:06:42.573907,192.168.0.1:50302,10.0.0.2:5201,2896,1674947210,2076518369,13,5,25015,42496,0
12:06:42.574718,192.168.0.1:50302,10.0.0.2:5201,8688,1674950106,2076518369,13,5,24608,42496,0
12:06:42.575251,192.168.0.1:50302,10.0.0.2:5201,7240,1674958794,2076518369,14,5,24405,42496,0
12:06:42.575326,192.168.0.1:50302,10.0.0.2:5201,1448,1674966034,2076518369,14,5,24536,42496,0
12:06:42.575558,192.168.0.1:39676,10.0.0.2:5202,2896,4030572830,878698750,19,7,25966,42496,0
12:06:42.576394,192.168.0.1:39676,10.0.0.2:5202,10136,4030575726,878698750,19,7,27072,42496,0
12:06:42.577240,192.168.0.1:39676,10.0.0.2:5202,10136,4030585862,878698750,19,7,28254,42496,0
12:06:42.577856,192.168.0.1:50302,10.0.0.2:5201,2896,1674967482,2076518369,14,5,25416,42496,0
12:06:42.578591,192.168.0.1:50302,10.0.0.2:5201,8688,1674970378,2076518369,14,5,26648,42496,0
12:06:42.579069,192.168.0.1:50302,10.0.0.2:5201,7240,1674979066,2076518369,15,5,27352,42496,0
12:06:42.579553,192.168.0.1:39676,10.0.0.2:5202,8688,4030595998,878698750,20,7,29322,42496,0
12:06:42.580033,192.168.0.1:39676,10.0.0.2:5202,5792,4030604686,878698750,20,7,29052,42496,0
12:06:42.580882,192.168.0.1:39676,10.0.0.2:5202,10136,4030610478,878698750,20,7,29307,42496,0
12:06:42.581248,192.168.0.1:39676,10.0.0.2:5202,4344,4030620614,878698750,20,7,29836,42496,0
12:06:42.581382,192.168.0.1:50302,10.0.0.2:5201,4344,1674986306,2076518369,15,5,30452,42496,0
12:06:42.582134,192.168.0.1:50302,10.0.0.2:5201,7240,1674990650,2076518369,15,5,29330,42496,0
12:06:42.582705,192.168.0.1:50302,10.0.0.2:5201,10136,1674997890,2076518369,16,5,29036,42496,0
12:06:42.582831,192.168.0.1:50302,10.0.0.2:5201,1448,1675008026,2076518369,16,5,29169,42496,0
12:06:42.583076,192.168.0.1:39676,10.0.0.2:5202,2896,4030624958,878698750,20,7,29617,42496,0
12:06:42.583785,192.168.0.1:39676,10.0.0.2:5202,10136,4030627854,878698750,21,7,29942,42496,0
12:06:42.584760,192.168.0.1:39676,10.0.0.2:5202,11584,4030637990,878698750,21,7,29869,42496,0
12:06:42.585498,192.168.0.1:50302,10.0.0.2:5201,2896,1675009474,2076518369,16,5,29636,42496,0
12:06:42.586211,192.168.0.1:50302,10.0.0.2:5201,8688,1675012370,2076518369,16,5,30620,42496,0
12:06:42.587171,192.168.0.1:50302,10.0.0.2:5201,8688,1675021058,2076518369,16,5,31140,42496,0
12:06:42.587202,192.168.0.1:50302,10.0.0.2:5201,4344,1675029746,2076518369,17,5,31744,42496,0
12:06:42.587433,192.168.0.1:39676,10.0.0.2:5202,8688,4030649574,878698750,21,7,31000,42496,0
12:06:42.588294,192.168.0.1:39676,10.0.0.2:5202,11584,4030658262,878698750,22,7,32240,42496,0
12:06:42.588760,192.168.0.1:39676,10.0.0.2:5202,5792,4030669846,878698750,22,7,31964,42496,0
12:06:42.589239,192.168.0.1:39676,10.0.0.2:5202,5792,4030675638,878698750,22,7,32659,42496,0
12:06:42.589484,192.168.0.1:50302,10.0.0.2:5201,2896,1675034090,2076518369,17,5,31761,42496,0
12:06:42.590203,192.168.0.1:50302,10.0.0.2:5201,8688,1675036986,2076518369,17,5,31246,42496,0
12:06:42.590941,192.168.0.1:50302,10.0.0.2:5201,8688,1675045674,2076518369,17,5,30301,42496,0
12:06:42.591304,192.168.0.1:50302,10.0.0.2:5201,5792,1675054362,2076518369,18,5,30785,42496,0
12:06:42.591542,192.168.0.1:39676,10.0.0.2:5202,2896,4030681430,878698750,22,7,32679,42496,0
12:06:42.592518,192.168.0.1:39676,10.0.0.2:5202,13032,4030684326,878698750,23,7,33290,42496,0
12:06:42.593470,192.168.0.1:39676,10.0.0.2:5202,11584,4030697358,878698750,23,7,34707,42496,0
12:06:42.593769,192.168.0.1:39660,10.0.0.2:5202,1,393680860,1094288265,10,2147483647,37073,42496,0
12:06:42.594209,192.168.0.1:50302,10.0.0.2:5201,2896,1675060154,2076518369,18,5,31660,42496,0
12:06:42.594938,192.168.0.1:50302,10.0.0.2:5201,8688,1675063050,2076518369,18,5,33124,42496,0
12:06:42.595689,192.168.0.1:50302,10.0.0.2:5201,8688,1675071738,2076518369,18,5,34103,42496,0
12:06:42.596154,192.168.0.1:50302,10.0.0.2:5201,7240,1675080426,2076518369,19,5,34989,42496,0
