,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,1217199779,0,8,2147483647,0.0,0,0
1,8.077,1217199780,0,8,2147483647,8.072,64576,0
2,8.097,1217199780,37,8,2147483647,8.072,64576,0
3,12.191,1217199817,0,8,2147483647,7.571,60573,0
4,12.247,1217199817,4,8,2147483647,7.571,60573,0
5,57.454,1217199821,135,8,2147483647,12.276,98209,0
6,61.603,3522881197,0,8,2147483647,0.0,0,0
7,65.716,3522881198,0,8,2147483647,4.096,32768,0
8,65.765,3522881198,37,8,2147483647,4.096,32768,0
9,107.38,1217199956,0,8,2147483647,11.252,90020,0
10,111.477,1217199956,0,8,2147483647,11.252,90020,0
11,111.5,3522881235,4344,8,2147483647,4.096,32771,0
12,111.509,3522885579,4344,8,2147483647,4.096,32771,0
13,111.513,3522889923,2896,8,2147483647,4.096,32771,0
14,115.77,3522892819,1448,8,2147483647,4.117,32943,1
15,116.505,3522881235,1448,6,4,4.256,34055,3
16,116.855,3522894267,1448,4,4,4.58,36641,3
17,116.979,3522895715,1448,4,4,4.691,37529,3
18,119.809,3522897163,1448,4,4,4.609,36874,3
19,120.89,3522898611,2896,4,4,4.47,35767,0
20,121.004,3522901507,1448,4,4,4.415,35322,0
21,123.851,3522902955,2896,5,4,4.367,34939,0
22,124.94,3522905851,1448,5,4,4.326,34610,0
23,125.036,3522907299,2896,5,4,4.259,34078,0
24,127.978,3522910195,2896,6,4,4.243,33951,0
25,127.984,3522913091,1448,6,4,4.243,33951,0
26,129.067,3522914539,2896,6,4,4.23,33841,0
27,129.106,3522917435,1448,6,4,4.209,33678,0
28,132.065,3522918883,2896,6,4,4.194,33556,0
29,132.173,3522921779,2896,7,4,4.194,33556,0
30,133.114,3522924675,2896,7,4,4.175,33407,0
31,136.134,3522927571,2896,7,4,4.532,36258,0
32,136.387,3522930467,2896,8,4,4.442,35537,0
33,136.391,3522933363,2896,8,4,4.442,35537,0
34,137.155,3522936259,2896,8,4,4.391,35134,0
35,140.166,3522939155,1448,8,4,4.346,34773,0
36,140.456,3522940603,2896,8,4,4.277,34216,0
37,140.563,3522943499,2896,8,4,4.241,33928,0
38,140.672,3522946395,2896,9,4,4.246,33971,0
39,141.403,3522949291,2896,9,4,4.233,33867,0
40,144.215,3522952187,1448,9,4,4.209,33679,0
41,144.504,3522953635,2896,9,4,4.171,33370,0
42,144.615,3522956531,1448,9,4,4.157,33261,0
43,144.846,3522957979,2896,9,4,4.161,33289,0
44,145.699,3522960875,4344,10,4,4.191,33535,0
45,145.817,3522965219,1448,10,4,4.219,33754,0
46,148.247,3522966667,1448,10,4,4.195,33566,0
47,148.661,3522968115,4344,10,4,4.145,33163,0
48,149.736,3522972459,4344,10,4,4.111,32891,0
49,149.844,3522976803,2896,11,4,4.115,32926,0
50,150.085,3522979699,2896,11,4,4.151,33209,0
51,152.295,3522982595,1448,11,4,4.137,33103,0
52,152.822,3522984043,4344,11,4,4.122,32977,0
53,153.933,3522988387,2896,11,4,4.126,33008,0
54,154.332,3522991283,4344,12,4,4.213,33708,0
55,154.548,3522995627,4344,12,4,4.257,34061,0
56,156.347,3522999971,1448,12,4,4.231,33855,0
57,156.978,3523001419,4344,12,4,4.185,33486,0
58,157.98,3523005763,2896,12,4,4.152,33218,0
59,158.507,3523008659,4344,12,4,4.135,33080,0
60,158.645,3523013003,2896,13,4,4.127,33021,0
61,160.372,3523015899,4344,13,4,4.142,33137,0
62,162.228,3523020243,5792,13,4,4.138,33106,0
63,162.701,3523026035,5792,13,4,4.146,33171,0
64,164.402,3523031827,5792,14,4,4.151,33214,0
65,166.375,3523037619,4344,14,4,4.137,33103,0
66,166.867,3523041963,5792,14,4,4.217,33736,0
67,168.44,3523047755,5792,14,4,4.25,34004,0
68,168.672,3523053547,5792,15,4,4.222,33780,0
69,170.416,3523059339,1448,15,4,4.199,33597,0
70,170.899,3523060787,5792,15,4,4.146,33174,0
71,172.493,3523066579,4344,15,4,4.147,33179,0
72,172.972,3523070923,5792,15,4,4.212,33703,0
73,173.214,3523076715,4344,16,4,4.276,34212,0
74,174.452,3523081059,2896,16,4,4.289,34312,0
75,175.161,3523083955,5792,16,4,4.225,33805,0
76,176.522,3523089747,1448,16,4,4.2,33607,0
77,177.018,3523091195,5792,16,4,4.144,33157,0
78,177.477,3523096987,5792,16,4,4.178,33426,0
79,178.827,3523102779,4344,17,4,4.225,33800,0
80,179.431,3523107123,7240,17,4,4.206,33652,0
81,180.556,3523114363,1448,17,4,4.184,33478,0
82,181.515,3523115811,7240,17,4,4.149,33199,0
83,182.858,3523123051,5792,17,4,4.147,33182,0
84,183.469,3523128843,7240,18,4,4.114,32912,0
85,184.595,3523136083,5792,18,4,4.153,33224,0
86,185.658,3523141875,4344,18,4,4.126,33009,0
87,186.892,3523146219,4344,18,4,4.155,33246,0
88,187.511,3523150563,7240,19,4,4.163,33306,0
89,188.639,3523157803,7240,19,4,4.184,33474,0
90,189.688,3523165043,5792,19,4,4.159,33275,0
91,191.041,3523170835,4344,19,4,4.144,33158,0
92,191.684,3523175179,7240,19,4,4.156,33254,0
93,192.684,3523182419,7240,20,4,4.162,33298,0
94,193.74,3523189659,5792,20,4,4.184,33473,0
95,195.192,3523195451,5792,20,4,4.174,33398,0
96,195.832,3523201243,7240,20,4,4.169,33356,0
97,196.073,3523208483,2896,20,4,4.208,33665,0
98,197.074,3523211379,7240,21,4,4.217,33739,0
99,199.587,3523218619,8688,21,4,4.229,33834,0
100,200.318,3523227307,7240,21,4,4.369,34956,0
101,200.801,3523234547,7240,21,4,4.493,35947,0
102,201.525,3523241787,8688,22,4,4.375,35007,0
103,203.677,3523250475,1448,22,4,4.34,34721,0
104,203.859,1217199956,1,8,2147483647,11.252,90020,0
105,204.398,3523251923,8688,22,4,4.367,34940,0
106,205.121,3523260611,8688,22,4,4.354,34837,0
107,206.088,3523269299,7240,22,4,4.444,35559,0
108,207.79,3523276539,8688,23,4,4.563,36507,0
109,207.962,1217199957,0,8,2147483647,10.359,82872,0
110,208.015,1217199957,4,8,2147483647,10.359,82872,0
111,253.42,1217199961,282,8,2147483647,14.738,117911,0
112,299.366,1217200243,0,8,2147483647,13.408,107267,0
113,303.49,1217200243,0,8,2147483647,13.408,107267,0
114,303.596,1217200243,1,8,2147483647,13.408,107267,0
115,303.604,1217200244,0,8,2147483647,13.408,107267,0
116,307.74,1217200245,0,8,2147483647,12.243,97945,0
