,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,2729649010,0,8,2147483647,0.0,0,0
1,8.231,2729649011,0,8,2147483647,8.22,65760,0
2,8.259,2729649011,37,8,2147483647,8.22,65760,0
3,12.386,2729649048,0,8,2147483647,7.702,61620,0
4,12.44,2729649048,4,8,2147483647,7.702,61620,0
5,59.032,2729649052,135,8,2147483647,12.562,100503,0
6,63.197,367031288,0,8,2147483647,0.0,0,0
7,67.313,367031289,0,8,2147483647,4.098,32784,0
8,67.365,367031289,37,8,2147483647,4.098,32784,0
9,104.996,2729649187,0,8,2147483647,11.505,92046,0
10,109.078,2729649187,0,8,2147483647,11.505,92046,0
11,109.105,367031326,5792,8,2147483647,4.091,32735,0
12,109.115,367037118,5792,8,2147483647,4.091,32735,0
13,113.898,367042910,1448,8,2147483647,4.179,33435,1
14,114.145,367031326,1448,6,4,4.368,34951,3
15,114.501,367044358,1448,4,4,4.668,37346,3
16,114.623,367045806,1448,4,4,4.772,38183,3
17,117.928,367047254,1448,4,4,4.679,37437,3
18,118.587,367048702,2896,4,4,4.53,36244,0
19,118.651,367051598,1448,4,4,4.467,35739,0
20,122.003,367053046,2896,5,4,4.416,35334,0
21,122.672,367055942,2896,5,4,4.339,34714,0
22,122.76,367058838,1448,5,4,4.31,34483,0
23,126.204,367060286,2896,6,4,4.298,34384,0
24,126.208,367063182,1448,6,4,4.298,34384,0
25,126.732,367064630,2896,6,4,4.268,34147,0
26,130.265,367067526,2896,6,4,4.672,37381,0
27,130.554,367070422,2896,7,4,4.57,36566,0
28,130.827,367073318,2896,7,4,4.509,36079,0
29,130.833,367076214,1448,7,4,4.509,36079,0
30,134.483,367077662,2896,7,4,4.473,35786,0
31,134.716,367080558,2896,7,4,4.434,35474,0
32,134.945,367083454,2896,8,4,4.394,35157,0
33,138.58,367086350,2896,8,4,4.814,38515,0
34,138.652,367089246,2896,8,4,4.733,37869,0
35,138.896,367092142,2896,8,4,4.594,36758,0
36,139.132,367095038,2896,9,4,4.486,35891,0
37,139.136,367097934,1448,9,4,4.486,35891,0
38,142.719,367099382,1448,9,4,4.442,35541,0
39,142.974,367100830,2896,9,4,4.407,35256,0
40,143.212,367103726,2896,9,4,4.397,35179,0
41,143.331,367106622,1448,9,4,4.402,35216,0
42,143.571,367108070,2896,9,4,4.396,35169,0
43,143.685,367110966,2896,10,4,4.415,35325,0
44,146.753,367113862,1448,10,4,4.368,34944,0
45,147.262,367115310,4344,10,4,4.264,34115,0
46,147.629,367119654,4344,10,4,4.191,33535,0
47,147.842,367123998,4344,11,4,4.157,33262,0
48,147.845,367128342,1448,11,4,4.157,33262,0
49,151.03,367129790,1448,11,4,4.172,33380,0
50,151.408,367131238,4344,11,4,4.139,33119,0
51,151.775,367135582,4344,11,4,4.12,32960,0
52,152.147,367139926,4344,11,4,4.143,33150,0
53,152.259,367144270,2896,12,4,4.177,33422,0
54,155.292,367147166,1448,12,4,4.188,33506,0
55,155.533,367148614,2896,12,4,4.162,33299,0
56,155.899,367151510,4344,12,4,4.15,33207,0
