,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,4011017901,0,8,2147483647,0.0,0,0
1,8.142,4011017902,0,8,2147483647,8.142,65136,0
2,8.174,4011017902,37,8,2147483647,8.142,65136,0
3,12.282,4011017939,0,8,2147483647,7.634,61075,0
4,12.318,4011017939,4,8,2147483647,7.634,61075,0
5,59.342,4011017943,136,8,2147483647,12.557,100460,0
6,63.556,2642982386,0,8,2147483647,0.0,0,0
7,67.675,2642982387,0,8,2147483647,4.119,32952,0
8,67.69,2642982387,37,8,2147483647,4.119,32952,0
9,105.293,4011018079,0,8,2147483647,11.507,92056,0
10,109.375,4011018079,0,8,2147483647,11.507,92056,0
11,109.407,2642982424,4344,8,2147483647,4.119,32956,0
12,109.414,2642986768,4344,8,2147483647,4.119,32956,0
13,109.416,2642991112,2896,8,2147483647,4.119,32956,0
14,113.463,2642994008,1448,8,2147483647,4.109,32875,1
15,113.798,2642982424,1448,6,5,4.139,33118,3
16,114.049,2642995456,1448,5,5,4.241,33929,3
17,114.167,2642996904,1448,5,5,4.304,34438,3
18,114.299,2642998352,1448,5,5,4.377,35017,3
19,117.52,2642999800,1448,5,5,4.336,34695,3
20,118.086,2643001248,2896,5,5,4.262,34100,0
21,118.353,2643004144,2896,5,5,4.21,33685,0
22,121.566,2643007040,2896,6,5,4.189,33519,0
23,122.148,2643009936,2896,6,5,4.159,33278,0
24,122.406,2643012832,2896,6,5,4.146,33173,0
25,125.63,2643015728,2896,6,5,4.135,33084,0
26,126.2,2643018624,2896,6,5,4.124,32998,0
27,126.473,2643021520,2896,6,5,4.117,32937,0
28,129.692,2643024416,2896,7,5,4.109,32879,0
29,130.298,2643027312,2896,7,5,4.108,32866,0
30,130.521,2643030208,2896,8,5,4.1,32805,0
31,130.526,2643033104,2896,8,5,4.1,32805,0
32,133.744,2643036000,2896,8,5,4.094,32754,0
33,134.453,2643038896,2896,8,5,4.101,32813,0
34,134.703,2643041792,2896,8,5,4.111,32893,0
35,134.931,2643044688,2896,8,5,4.168,33347,0
36,137.801,2643047584,2896,9,5,4.153,33229,0
37,138.635,2643050480,2896,9,5,4.152,33220,0
38,138.875,2643053376,2896,9,5,4.17,33367,0
39,139.111,2643056272,2896,9,5,4.184,33476,0
40,139.232,2643059168,2896,10,5,4.199,33592,0
41,141.853,2643062064,1448,10,5,4.18,33445,0
42,142.928,2643063512,4344,10,5,4.181,33454,0
43,143.316,2643067856,4344,10,5,4.197,33581,0
44,143.655,2643072200,4344,10,5,4.247,33978,0
45,145.888,2643076544,2896,11,5,4.22,33763,0
46,146.962,2643079440,1448,11,5,4.197,33578,0
47,147.36,2643080888,4344,11,5,4.159,33279,0
48,147.69,2643085232,4344,11,5,4.133,33064,0
49,147.837,2643089576,4344,12,5,4.13,33046,0
50,149.95,2643093920,1448,12,5,4.121,32972,0
51,151.006,2643095368,2896,12,5,4.106,32852,0
52,151.501,2643098264,4344,12,5,4.098,32784,0
53,151.898,2643102608,4344,12,5,4.102,32819,0
54,152.232,2643106952,4344,12,5,4.162,33302,0
55,154.004,2643111296,2896,13,5,4.149,33193,0
56,155.045,2643114192,1448,13,5,4.135,33081,0
57,155.655,2643115640,5792,13,5,4.11,32887,0
58,156.263,2643121432,5792,13,5,4.093,32751,0
59,158.032,2643127224,5792,14,5,4.09,32727,0
60,159.078,2643133016,2896,14,5,4.077,32622,0
61,159.933,2643135912,5792,14,5,4.104,32839,0
62,160.577,2643141704,5792,14,5,4.134,33079,0
63,162.067,2643147496,1448,14,5,4.122,32976,0
64,163.168,2643148944,5792,14,5,4.131,33054,0
65,164.091,2643154736,5792,14,5,4.123,32991,0
66,164.72,2643160528,5792,14,5,4.122,32977,0
67,166.097,2643166320,4344,15,5,4.126,33014,0
68,167.208,2643170664,1448,15,5,4.115,32926,0
69,168.122,2643172112,5792,15,5,4.119,32953,0
70,168.127,2643177904,1448,15,5,4.108,32870,0
71,168.758,2643179352,5792,15,5,4.109,32876,0
72,168.921,2643185144,1448,15,5,4.116,32931,0
73,170.565,2643186592,2896,15,5,4.176,33415,0
74,171.308,2643189488,5792,16,5,4.264,34114,0
75,172.39,2643195280,5792,16,5,4.21,33682,0
76,172.905,2643201072,5792,16,5,4.181,33454,0
77,174.598,2643206864,4344,16,5,4.175,33402,0
