,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,2079390452,0,8,2147483647,0.0,0,0
1,0.151,2079390453,0,8,2147483647,0.155,1240,0
2,0.162,2079390453,37,8,2147483647,0.155,1240,0
3,0.244,2079390490,0,8,2147483647,0.139,1116,0
4,0.27,2079390490,4,8,2147483647,0.139,1116,0
5,46.031,2079390494,135,8,2147483647,5.841,46734,0
6,46.27,2913978162,0,8,2147483647,0.0,0,0
7,46.317,2913978163,0,8,2147483647,0.045,360,0
8,46.339,2913978163,37,8,2147483647,0.045,360,0
9,89.998,2079390629,0,8,2147483647,5.117,40942,0
10,90.111,2079390629,0,8,2147483647,5.117,40942,0
11,90.135,2913978200,5792,8,2147483647,0.041,328,0
12,90.188,2913983992,5792,8,2147483647,0.041,328,0
13,90.281,2913978200,1448,5,4,0.061,488,3
14,91.365,2913989784,1448,4,4,0.309,2479,3
15,91.49,2913991232,1448,4,4,0.433,3471,3
16,91.609,2913992680,1448,4,4,0.557,4458,3
17,92.467,2913994128,2896,4,4,0.673,5388,0
18,92.713,2913997024,2896,5,4,0.773,6189,0
19,92.722,2913999920,1448,5,4,0.773,6189,0
20,93.67,2914001368,2896,5,4,0.861,6889,0
21,93.912,2914004264,2896,5,4,0.927,7419,0
22,94.037,2914007160,2896,6,4,0.976,7815,0
23,94.891,2914010056,1448,6,4,1.007,8060,0
24,95.138,2914011504,2896,6,4,1.07,8565,0
25,95.381,2914014400,2896,6,4,1.134,9076,0
26,96.456,2914017296,4344,7,4,1.224,9795,0
27,96.816,2914021640,4344,7,4,1.307,10461,0
28,96.938,2914025984,1448,7,4,1.338,10711,0
29,98.03,2914027432,4344,8,4,1.38,11044,0
30,98.151,2914031776,1448,8,4,1.419,11358,0
31,98.536,2914033224,4344,8,4,1.478,11829,0
32,98.658,2914037568,1448,8,4,1.508,12069,0
33,99.758,2914039016,2896,8,4,1.535,12285,0
34,99.986,2914041912,4344,9,4,1.605,12843,0
35,100.334,2914046256,4344,9,4,1.639,13115,0
36,101.468,2914050600,2896,9,4,1.785,14282,0
37,101.566,2914053496,1448,9,4,1.788,14304,0
38,101.925,2914054944,5792,10,4,1.808,14471,0
39,102.277,2914060736,4344,10,4,1.827,14617,0
40,103.364,2914065080,2896,10,4,1.835,14686,0
41,103.848,2914067976,7240,11,4,1.868,14951,0
42,104.34,2914075216,5792,11,4,1.919,15357,0
43,105.669,2914081008,2896,11,4,1.967,15741,0
44,106.148,2914083904,5792,11,4,2.018,16151,0
45,106.687,2914089696,5792,12,4,2.082,16660,0
