,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,3057644276,0,8,2147483647,0.0,0,0
1,0.03,3057644277,0,8,2147483647,0.03,240,0
2,0.048,3057644277,37,8,2147483647,0.03,240,0
3,0.074,3057644314,0,8,2147483647,0.027,223,0
4,0.1,3057644314,4,8,2147483647,0.027,223,0
5,43.623,3057644318,136,8,2147483647,5.464,43719,0
6,43.75,496966720,0,8,2147483647,0.0,0,0
7,43.806,496966721,0,8,2147483647,0.053,424,0
8,43.831,496966721,37,8,2147483647,0.053,424,0
9,87.581,3057644454,0,8,2147483647,4.785,38286,0
10,87.632,3057644454,0,8,2147483647,4.785,38286,0
11,87.656,496966758,5792,8,2147483647,0.052,417,0
12,87.665,496972550,5792,8,2147483647,0.052,417,0
13,88.155,496966758,1448,5,5,0.164,1313,3
14,88.277,496978342,1448,5,5,0.22,1761,3
15,88.398,496979790,1448,5,5,0.284,2274,3
16,88.52,496981238,1448,5,5,0.355,2845,3
17,88.641,496982686,1448,5,5,0.433,3466,3
18,89.497,496984134,2896,5,5,0.593,4747,0
19,89.737,496987030,2896,5,5,0.739,5917,0
20,89.866,496989926,2896,6,5,0.8,6400,0
21,90.457,496992822,2896,6,5,0.824,6597,0
22,90.699,496995718,2896,6,5,0.843,6750,0
23,90.828,496998614,2896,7,5,0.858,6868,0
24,91.791,497001510,4344,7,5,0.978,7826,0
25,92.154,497005854,4344,7,5,1.082,8661,0
26,92.275,497010198,1448,7,5,1.128,9025,0
27,93.365,497011646,4344,7,5,1.238,9910,0
28,93.728,497015990,4344,7,5,1.312,10503,0
29,93.849,497020334,1448,7,5,1.345,10765,0
30,94.818,497021782,4344,7,5,1.344,10757,0
31,95.181,497026126,4344,7,5,1.344,10752,0
32,95.303,497030470,1448,7,5,1.357,10861,0
33,96.393,497031918,4344,8,5,1.395,11164,0
34,96.765,497036262,4344,8,5,1.454,11632,0
35,96.998,497040606,4344,9,5,1.51,12086,0
36,98.091,497044950,1448,9,5,1.534,12272,0
37,98.574,497046398,5792,9,5,1.613,12905,0
38,98.937,497052190,5792,10,5,1.69,13520,0
39,100.172,497057982,2896,10,5,1.779,14237,0
40,100.651,497060878,5792,10,5,1.823,14584,0
41,101.123,497066670,5792,10,5,1.881,15053,0
42,102.581,497072462,2896,10,5,1.947,15579,0
43,103.099,497075358,5792,10,5,2.033,16268,0
44,103.567,497081150,7240,11,5,2.101,16810,0
45,105.123,497088390,2896,11,5,2.156,17248,0
46,105.429,497091286,4344,12,5,2.173,17385,0
47,105.864,497095630,7240,13,5,2.226,17815,0
48,106.237,497102870,4344,13,5,2.314,18515,0
49,107.913,497107214,2896,13,5,2.373,18987,0
50,108.511,497110110,7240,13,5,2.495,19964,0
51,109.114,497117350,7240,13,5,2.637,21099,0
52,111.079,497124590,4344,13,5,2.744,21956,0
53,111.693,497128934,8688,14,5,2.835,22687,0
54,112.279,497137622,7240,14,5,2.897,23176,0
55,114.216,497144862,2896,14,5,2.926,23415,0
56,114.806,497147758,8688,15,5,2.975,23801,0
57,115.304,497156446,5792,15,5,3.025,24201,0
58,115.582,497162238,2896,15,5,3.057,24461,0
59,115.673,497165134,1448,15,5,3.099,24797,0
60,117.486,497166582,2896,15,5,3.12,24967,0
61,118.21,497169478,8688,15,5,3.143,25148,0
62,118.936,497178166,8688,15,5,3.197,25583,0
63,121.117,497186854,4344,16,5,3.478,27827,0
64,121.964,497191198,10136,16,5,3.518,28146,0
65,122.702,497201334,10136,17,5,3.525,28201,0
66,124.985,497211470,2896,17,5,3.567,28542,0
67,125.828,497214366,10136,17,5,3.627,29021,0
68,126.444,497224502,7240,17,5,3.661,29293,0
69,126.822,497231742,4344,17,5,3.753,30028,0
70,128.738,497236086,4344,18,5,3.753,30027,0
71,129.462,497240430,8688,18,5,3.641,29128,0
72,130.19,497249118,8688,18,5,3.637,29098,0
73,133.003,497257806,8688,19,5,3.728,29824,0
74,133.83,497266494,10136,19,5,3.921,31370,0
75,134.569,497276630,8688,19,5,3.996,31970,0
76,137.103,497285318,2896,19,5,4.008,32071,0
77,137.582,497288214,7240,20,5,4.116,32929,0
78,138.441,497295454,10136,20,5,4.223,33785,0
79,139.166,497305590,8688,20,5,4.276,34208,0
80,141.092,497314278,2896,20,5,4.24,33921,0
81,141.966,497317174,11584,21,5,4.071,32572,0
82,142.792,497328758,10136,21,5,3.984,31872,0
83,146.066,497338894,8688,21,5,4.109,32873,0
84,147.049,497347582,13032,22,5,4.375,35003,0
85,147.887,497360614,10136,22,5,4.575,36603,0
86,150.795,497370750,2896,22,5,4.593,36745,0
87,151.76,497373646,11584,22,5,4.684,37476,0
88,152.609,497385230,11584,23,5,4.831,38655,0
89,152.704,3057644454,1,8,2147483647,4.785,38286,0
90,153.202,497396814,7240,23,5,4.944,39555,0
91,156.112,497404054,2896,23,5,4.992,39937,0
92,157.113,497406950,11584,23,5,4.997,39981,0
93,157.577,497418534,7240,24,5,4.964,39715,0
94,158.269,3057644455,0,8,2147483647,4.883,39065,0
95,158.326,3057644455,4,8,2147483647,4.883,39065,0
96,203.618,3057644459,283,8,2147483647,9.933,79470,0
97,251.589,3057644742,0,8,2147483647,8.696,69573,0
98,251.702,3057644742,0,8,2147483647,8.696,69573,0
99,251.833,3057644742,1,8,2147483647,8.696,69573,0
100,251.864,3057644743,0,8,2147483647,8.696,69573,0
101,251.897,3057644744,0,8,2147483647,7.617,60937,0
