,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,4188368096,0,8,2147483647,0.0,0,0
1,0.03,4188368097,0,8,2147483647,0.028,224,0
2,0.051,4188368097,37,8,2147483647,0.028,224,0
3,0.105,4188368134,0,8,2147483647,0.028,226,0
4,0.13,4188368134,4,8,2147483647,0.028,226,0
5,42.788,4188368138,136,8,2147483647,5.356,42851,0
6,43.131,2832042583,0,8,2147483647,0.0,0,0
7,43.208,2832042584,0,8,2147483647,0.072,576,0
8,44.195,2832042584,37,8,2147483647,0.072,576,0
9,86.609,4188368274,0,8,2147483647,4.697,37576,0
10,86.69,4188368274,0,8,2147483647,4.697,37576,0
11,86.726,2832042621,5792,8,2147483647,0.078,626,0
12,86.733,2832048413,5792,8,2147483647,0.078,626,0
13,87.224,2832042621,1448,5,5,0.182,1459,3
14,87.347,2832054205,1448,5,5,0.236,1890,3
15,87.468,2832055653,1448,5,5,0.298,2387,3
16,87.589,2832057101,1448,5,5,0.368,2944,3
17,87.71,2832058549,1448,5,5,0.443,3551,3
18,88.557,2832059997,2896,5,5,0.6,4804,0
19,88.799,2832062893,2896,5,5,0.743,5948,0
20,88.921,2832065789,2896,6,5,0.801,6415,0
21,89.527,2832068685,2896,6,5,0.828,6625,0
22,89.784,2832071581,2896,6,5,0.849,6797,0
23,90.011,2832074477,4344,7,5,0.879,7037,0
24,91.1,2832078821,4344,7,5,0.983,7869,0
25,91.352,2832083165,4344,7,5,1.027,8217,0
26,91.498,2832087509,1448,7,5,1.084,8676,0
27,92.582,2832088957,4344,7,5,1.161,9289,0
28,92.923,2832093301,4344,7,5,1.243,9945,0
29,94.018,2832097645,2896,7,5,1.402,11221,0
30,94.492,2832100541,4344,7,5,1.452,11620,0
31,94.651,2832104885,2896,7,5,1.486,11894,0
32,95.833,2832107781,2896,7,5,1.527,12222,0
33,96.216,2832110677,4344,7,5,1.557,12456,0
34,96.43,2832115021,2896,7,5,1.584,12677,0
35,97.763,2832117917,2896,7,5,1.627,13021,0
36,98.144,2832120813,4344,7,5,1.685,13481,0
37,98.371,2832125157,2896,7,5,1.717,13736,0
38,99.822,2832128053,4344,8,5,1.759,14077,0
39,100.072,2832132397,4344,9,5,1.785,14282,0
40,100.305,2832136741,4344,10,5,1.833,14665,0
41,100.429,2832141085,1448,10,5,1.861,14888,0
42,101.89,2832142533,1448,10,5,1.886,15092,0
43,102.245,2832143981,5792,11,5,1.997,15976,0
44,102.64,2832149773,5792,12,5,2.113,16904,0
45,102.982,2832155565,4344,12,5,2.245,17961,0
46,104.555,2832159909,1448,12,5,2.297,18379,0
47,104.671,2832161357,1448,12,5,2.313,18507,0
48,105.154,2832162805,5792,12,5,2.444,19555,0
49,105.639,2832168597,5792,12,5,2.567,20542,0
50,107.214,2832174389,4344,12,5,2.636,21091,0
51,107.7,2832178733,5792,12,5,2.572,20576,0
52,108.184,2832184525,5792,12,5,2.535,20282,0
53,108.307,2832190317,1448,12,5,2.551,20412,0
54,110.023,2832191765,1448,12,5,2.582,20658,0
55,110.123,2832193213,1448,12,5,2.622,20983,0
56,110.621,2832194661,5792,12,5,2.716,21732,0
57,111.092,2832200453,5792,12,5,2.769,22152,0
58,111.333,2832206245,2896,12,5,2.829,22635,0
59,113.152,2832209141,1448,12,5,2.867,22943,0
60,113.636,2832210589,5792,12,5,2.902,23221,0
61,114.116,2832216381,5792,12,5,2.925,23400,0
62,114.481,2832222173,4344,12,5,2.984,23877,0
63,116.2,2832226517,1448,12,5,2.992,23939,0
64,116.663,2832227965,5792,12,5,2.939,23517,0
65,117.147,2832233757,5792,12,5,2.91,23287,0
66,117.509,2832239549,4344,12,5,2.913,23305,0
67,119.573,2832243893,1448,12,5,2.97,23764,0
68,120.06,2832245341,5792,12,5,3.078,24625,0
69,120.547,2832251133,5792,12,5,3.143,25145,0
70,120.666,2832256925,1448,12,5,3.144,25157,0
71,120.909,2832258373,2896,12,5,3.19,25525,0
72,123.082,2832261269,1448,12,5,3.23,25842,0
73,123.568,2832262717,5792,12,5,3.278,26229,0
74,124.052,2832268509,5792,12,5,3.305,26444,0
75,124.202,2832274301,1448,12,5,3.33,26645,0
76,124.413,2832275749,2896,12,5,3.358,26866,0
77,126.241,2832278645,1448,12,5,3.333,26664,0
78,126.715,2832280093,7240,13,5,3.189,25514,0
79,127.318,2832287333,7240,13,5,3.105,24841,0
80,127.559,2832294573,2896,13,5,3.101,24811,0
81,129.994,2832297469,1448,13,5,3.182,25460,0
82,130.468,2832298917,7240,14,5,3.351,26812,0
83,131.076,2832306157,7240,14,5,3.49,27922,0
84,131.439,2832313397,4344,14,5,3.605,28840,0
85,133.872,2832317741,1448,14,5,3.638,29111,0
86,134.466,2832319189,7240,14,5,3.711,29691,0
87,135.079,2832326429,7240,14,5,3.748,29985,0
88,135.44,2832333669,4344,14,5,3.794,30358,0
89,137.735,2832338013,1448,14,5,3.803,30426,0
90,137.862,2832339461,1448,14,5,3.752,30019,0
91,138.458,2832340909,7240,14,5,3.69,29520,0
92,138.729,2832348149,4344,15,5,3.662,29298,0
93,139.32,2832352493,7240,15,5,3.721,29775,0
94,142.101,2832359733,1448,15,5,3.802,30417,0
95,142.704,2832361181,7240,15,5,3.958,31671,0
96,143.305,2832368421,7240,15,5,4.104,32835,0
97,143.789,2832375661,5792,15,5,4.189,33515,0
98,146.706,2832381453,1448,15,5,4.241,33929,0
99,147.303,2832382901,7240,15,5,4.313,34508,0
100,147.909,2832390141,7240,15,5,4.352,34823,0
101,148.396,2832397381,5792,15,5,4.391,35129,0
102,150.828,2832403173,2896,16,5,4.357,34858,0
103,151.555,2832406069,8688,16,5,4.077,32617,0
104,151.787,2832414757,2896,16,5,4.017,32136,0
105,152.527,2832417653,10136,17,5,4.0,32004,0
106,155.558,2832427789,1448,17,5,4.091,32729,0
107,156.274,2832429237,8688,17,5,4.342,34737,0
108,156.999,2832437925,8688,17,5,4.45,35605,0
109,157.485,2832446613,5792,17,5,4.593,36746,0
110,157.859,2832452405,1448,17,5,4.306,34454,0
111,157.987,2832453853,1448,17,5,3.982,31858,0
112,158.105,2832455301,1448,17,5,3.713,29705,0
113,158.83,2832456749,8688,17,5,2.762,22103,0
114,159.556,2832465437,8688,17,5,2.394,19154,0
115,160.087,4188368274,1,8,2147483647,4.697,37576,0
116,160.278,2832474125,8688,17,5,2.158,17270,0
117,161.008,2832482813,8688,17,5,1.936,15489,0
118,161.74,2832491501,8688,17,5,1.84,14724,0
119,161.835,4188368275,0,8,2147483647,4.328,34628,0
120,161.867,4188368275,4,8,2147483647,4.328,34628,0
121,206.665,4188368279,282,8,2147483647,9.386,75092,0
122,254.607,4188368561,0,8,2147483647,8.218,65750,0
123,254.781,4188368561,0,8,2147483647,8.218,65750,0
124,254.869,4188368561,1,8,2147483647,8.218,65750,0
125,254.891,4188368562,0,8,2147483647,8.218,65750,0
126,254.921,4188368563,0,8,2147483647,7.197,57580,0
