,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,2250880965,0,8,2147483647,0.0,0,0
1,0.164,2250880966,0,8,2147483647,0.159,1272,0
2,0.186,2250880966,37,8,2147483647,0.159,1272,0
3,0.251,2250881003,0,8,2147483647,0.146,1171,0
4,0.288,2250881003,4,8,2147483647,0.146,1171,0
5,42.96,2250881007,135,8,2147483647,5.462,43696,0
6,43.107,1918263069,0,8,2147483647,0.0,0,0
7,43.154,1918263070,0,8,2147483647,0.044,352,0
8,43.18,1918263070,37,8,2147483647,0.044,352,0
9,86.881,2250881142,0,8,2147483647,4.783,38270,0
10,86.954,2250881142,0,8,2147483647,4.783,38270,0
11,86.981,1918263107,5792,8,2147483647,0.043,346,0
12,87.037,1918268899,5792,8,2147483647,0.043,346,0
13,87.138,1918263107,1448,5,4,0.069,555,3
14,88.214,1918274691,1448,4,4,0.315,2527,3
15,88.336,1918276139,1448,4,4,0.438,3510,3
16,88.457,1918277587,1448,4,4,0.561,4491,3
17,89.307,1918279035,2896,4,4,0.675,5406,0
18,89.552,1918281931,2896,5,4,0.773,6189,0
19,89.558,1918284827,1448,5,4,0.773,6189,0
20,90.526,1918286275,2896,5,4,0.864,6913,0
21,90.771,1918289171,2896,5,4,0.932,7463,0
22,90.9,1918292067,2896,6,4,0.984,7876,0
23,91.73,1918294963,1448,6,4,1.011,8095,0
24,91.975,1918296411,2896,6,4,1.07,8562,0
25,92.217,1918299307,2896,6,4,1.128,9030,0
26,93.327,1918302203,4344,7,4,1.219,9757,0
27,93.671,1918306547,4344,7,4,1.312,10496,0
28,93.805,1918310891,1448,7,4,1.346,10770,0
29,94.883,1918312339,4344,8,4,1.384,11077,0
30,95.001,1918316683,1448,8,4,1.422,11376,0
31,95.366,1918318131,4344,8,4,1.475,11802,0
32,95.484,1918322475,1448,8,4,1.5,12006,0
33,96.577,1918323923,2896,8,4,1.525,12200,0
34,96.825,1918326819,4344,9,4,1.595,12767,0
35,97.199,1918331163,4344,9,4,1.639,13112,0
36,98.282,1918335507,2896,9,4,1.783,14268,0
37,98.397,1918338403,1448,9,4,1.788,14304,0
38,98.763,1918339851,5792,10,4,1.809,14474,0
39,99.125,1918345643,4344,10,4,1.823,14588,0
40,100.213,1918349987,2896,10,4,1.836,14695,0
41,100.7,1918352883,7240,11,4,1.873,14988,0
42,101.179,1918360123,5792,11,4,1.92,15362,0
43,102.305,1918365915,2896,11,4,1.941,15531,0
44,102.769,1918368811,5792,11,4,1.943,15547,0
45,103.124,1918374603,5792,12,4,1.971,15771,0
46,104.449,1918380395,5792,12,4,2.016,16130,0
47,104.933,1918386187,5792,12,4,2.024,16198,0
48,105.447,1918391979,7240,13,4,2.064,16519,0
49,106.524,1918399219,2896,13,4,2.066,16528,0
50,107.252,1918402115,8688,13,4,2.121,16968,0
51,107.736,1918410803,7240,14,4,2.134,17072,0
52,108.936,1918418043,4344,14,4,2.199,17594,0
53,109.663,1918422387,8688,14,4,2.196,17569,0
54,109.941,1918431075,2896,14,4,2.196,17572,0
55,111.361,1918433971,8688,15,4,2.283,18271,0
56,111.96,1918442659,7240,15,4,2.285,18283,0
57,112.444,1918449899,5792,15,4,2.34,18724,0
58,113.533,1918455691,2896,15,4,2.319,18556,0
59,114.283,1918458587,10136,16,4,2.367,18938,0
60,115.123,1918468723,10136,16,4,2.461,19690,0
61,116.203,1918478859,2896,16,4,2.487,19897,0
62,116.929,1918481755,10136,17,4,2.465,19725,0
63,117.793,1918491891,10136,17,4,2.482,19863,0
64,118.994,1918502027,4344,17,4,2.555,20446,0
65,119.733,1918506371,10136,18,4,2.564,20518,0
66,120.6,1918516507,10136,18,4,2.595,20766,0
67,121.779,1918526643,4344,18,4,2.652,21220,0
68,122.62,1918530987,11584,19,4,2.677,21421,0
69,123.468,1918542571,10136,19,4,2.695,21565,0
70,124.678,1918552707,4344,19,4,2.753,22030,0
71,125.524,1918557051,11584,20,4,2.753,22028,0
72,125.768,1918568635,2896,20,4,2.802,22423,0
73,126.643,1918571531,10136,20,4,2.85,22805,0
74,128.213,1918581667,2896,20,4,2.935,23486,0
75,129.048,1918584563,10136,20,4,3.116,24930,0
76,129.764,1918594699,10136,21,4,3.251,26014,0
77,132.449,1918604835,10136,21,4,3.47,27760,0
78,132.672,1918614971,2896,21,4,3.489,27912,0
79,133.53,1918617867,10136,21,4,3.699,29599,0
80,134.127,1918628003,8688,22,4,3.87,30962,0
81,136.307,1918636691,2896,22,4,3.868,30949,0
82,137.391,1918639587,13032,22,4,4.046,32375,0
83,138.244,1918652619,11584,23,4,4.139,33112,0
84,140.918,1918664203,8688,23,4,4.268,34151,0
85,142.001,1918672891,13032,23,4,4.231,33853,0
86,142.964,1918685923,13032,24,4,4.3,34404,0
87,145.15,1918698955,2896,24,4,4.291,34335,0
88,145.972,2250881142,1,8,2147483647,4.783,38270,0
89,146.121,1918701851,11584,24,4,4.279,34233,0
90,147.221,1918713435,13032,24,4,4.321,34574,0
91,149.996,1918726467,11584,25,4,4.499,35992,0
92,150.212,2250881143,0,8,2147483647,4.716,37728,0
93,150.26,2250881143,4,8,2147483647,4.716,37728,0
94,199.005,2250881147,282,8,2147483647,10.218,81750,0
95,242.894,2250881429,0,8,2147483647,8.944,71557,0
96,242.959,2250881429,0,8,2147483647,8.944,71557,0
97,243.045,2250881429,1,8,2147483647,8.944,71557,0
98,243.072,2250881430,0,8,2147483647,8.944,71557,0
99,243.104,2250881431,0,8,2147483647,7.833,62668,0
