time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
22:43:54.962112,192.168.0.1:46176,10.0.0.2:5201,0,3173993114,0,8,2147483647,0,42340,0
22:43:54.962148,192.168.0.1:36542,10.0.0.2:5202,0,2530367596,0,8,2147483647,0,42340,0
22:43:54.962246,192.168.0.1:36542,10.0.0.2:5202,0,2530367597,3736615610,8,2147483647,720,42496,0
22:43:54.962263,192.168.0.1:36542,10.0.0.2:5202,37,2530367597,3736615610,8,2147483647,720,42496,0
22:43:54.962268,192.168.0.1:46176,10.0.0.2:5201,0,3173993115,1656660317,8,2147483647,1280,42496,0
22:43:54.962288,192.168.0.1:46176,10.0.0.2:5201,37,3173993115,1656660317,8,2147483647,1280,42496,0
22:43:54.962325,192.168.0.1:36542,10.0.0.2:5202,0,2530367634,3736615611,8,2147483647,654,42496,0
22:43:54.962345,192.168.0.1:46176,10.0.0.2:5201,0,3173993152,1656660318,8,2147483647,1163,42496,0
22:43:54.962373,192.168.0.1:36542,10.0.0.2:5202,4,2530367634,3736615611,8,2147483647,654,42496,0
22:43:54.962373,192.168.0.1:46176,10.0.0.2:5201,4,3173993152,1656660318,8,2147483647,1163,42496,0
22:43:55.006107,192.168.0.1:46176,10.0.0.2:5201,135,3173993156,1656660318,8,2147483647,44747,42496,0
22:43:55.006120,192.168.0.1:36542,10.0.0.2:5202,136,2530367638,3736615611,8,2147483647,44319,42496,0
22:43:55.006270,192.168.0.1:46186,10.0.0.2:5201,0,3349301196,0,8,2147483647,0,42340,0
22:43:55.006271,192.168.0.1:36558,10.0.0.2:5202,0,2071649668,0,8,2147483647,0,42340,0
22:43:55.006327,192.168.0.1:46186,10.0.0.2:5201,0,3349301197,1213724125,8,2147483647,408,42496,0
22:43:55.006339,192.168.0.1:46186,10.0.0.2:5201,37,3349301197,1213724125,8,2147483647,408,42496,0
22:43:55.006348,192.168.0.1:36558,10.0.0.2:5202,0,2071649669,3798459356,8,2147483647,616,42496,0
22:43:55.006365,192.168.0.1:36558,10.0.0.2:5202,37,2071649669,3798459356,8,2147483647,616,42496,0
22:43:55.049970,192.168.0.1:46176,10.0.0.2:5201,0,3173993291,1656660319,8,2147483647,39189,42496,0
22:43:55.049995,192.168.0.1:36542,10.0.0.2:5202,0,2530367774,3736615612,8,2147483647,38803,42496,0
22:43:55.050043,192.168.0.1:46176,10.0.0.2:5201,0,3173993291,1656660321,8,2147483647,39189,42496,0
22:43:55.050046,192.168.0.1:36542,10.0.0.2:5202,0,2530367774,3736615614,8,2147483647,38803,42496,0
22:43:55.050080,192.168.0.1:36558,10.0.0.2:5202,5792,2071649706,3798459356,8,2147483647,558,42496,0
22:43:55.050081,192.168.0.1:46186,10.0.0.2:5201,5792,3349301234,1213724125,8,2147483647,385,42496,0
22:43:55.050089,192.168.0.1:46186,10.0.0.2:5201,5792,3349307026,1213724125,8,2147483647,385,42496,0
22:43:55.050147,192.168.0.1:36558,10.0.0.2:5202,5792,2071655498,3798459356,8,2147483647,558,42496,0
22:43:55.050247,192.168.0.1:36558,10.0.0.2:5202,1448,2071649706,3798459356,5,5,719,42496,3
22:43:55.050586,192.168.0.1:46186,10.0.0.2:5201,1448,3349301234,1213724125,5,4,1310,42496,3
22:43:55.050829,192.168.0.1:46186,10.0.0.2:5201,1448,3349312818,1213724125,4,4,2286,42496,3
22:43:55.050954,192.168.0.1:46186,10.0.0.2:5201,1448,3349314266,1213724125,4,4,2864,42496,3
22:43:55.051075,192.168.0.1:46186,10.0.0.2:5201,1448,3349315714,1213724125,4,4,3490,42496,3
22:43:55.051196,192.168.0.1:36558,10.0.0.2:5202,1448,2071661290,3798459356,5,5,1679,42496,3
22:43:55.051317,192.168.0.1:36558,10.0.0.2:5202,1448,2071662738,3798459356,5,5,2639,42496,3
22:43:55.051438,192.168.0.1:36558,10.0.0.2:5202,1448,2071664186,3798459356,5,5,3601,42496,3
22:43:55.051560,192.168.0.1:36558,10.0.0.2:5202,1448,2071665634,3798459356,5,5,4563,42496,3
22:43:55.051920,192.168.0.1:46186,10.0.0.2:5201,2896,3349317162,1213724125,4,4,4639,42496,0
22:43:55.052162,192.168.0.1:46186,10.0.0.2:5201,2896,3349320058,1213724125,5,4,5593,42496,0
22:43:55.052168,192.168.0.1:46186,10.0.0.2:5201,1448,3349322954,1213724125,5,4,5593,42496,0
22:43:55.052290,192.168.0.1:36558,10.0.0.2:5202,2896,2071667082,3798459356,5,5,5461,42496,0
22:43:55.052525,192.168.0.1:36558,10.0.0.2:5202,2896,2071669978,3798459356,5,5,6222,42496,0
22:43:55.052651,192.168.0.1:36558,10.0.0.2:5202,2896,2071672874,3798459356,6,5,6535,42496,0
22:43:55.052890,192.168.0.1:46186,10.0.0.2:5201,2896,3349324402,1213724125,5,4,6001,42496,0
22:43:55.053132,192.168.0.1:46186,10.0.0.2:5201,2896,3349327298,1213724125,5,4,6311,42496,0
22:43:55.053261,192.168.0.1:46186,10.0.0.2:5201,2896,3349330194,1213724125,6,4,6620,42496,0
22:43:55.053509,192.168.0.1:36558,10.0.0.2:5202,2896,2071675770,3798459356,6,5,7164,42496,0
22:43:55.053744,192.168.0.1:36558,10.0.0.2:5202,2896,2071678666,3798459356,6,5,7682,42496,0
22:43:55.053864,192.168.0.1:36558,10.0.0.2:5202,2896,2071681562,3798459356,7,5,7933,42496,0
22:43:55.054003,192.168.0.1:36558,10.0.0.2:5202,1448,2071684458,3798459356,7,5,8280,42496,0
22:43:55.054111,192.168.0.1:46186,10.0.0.2:5201,1448,3349333090,1213724125,6,4,7012,42496,0
22:43:55.054345,192.168.0.1:46186,10.0.0.2:5201,2896,3349334538,1213724125,6,4,7751,42496,0
22:43:55.054591,192.168.0.1:46186,10.0.0.2:5201,2896,3349337434,1213724125,6,4,8433,42496,0
22:43:55.055072,192.168.0.1:36558,10.0.0.2:5202,4344,2071685906,3798459356,7,5,9169,42496,0
22:43:55.055435,192.168.0.1:36558,10.0.0.2:5202,4344,2071690250,3798459356,7,5,10095,42496,0
22:43:55.055565,192.168.0.1:36558,10.0.0.2:5202,1448,2071694594,3798459356,7,5,10405,42496,0
22:43:55.055693,192.168.0.1:46186,10.0.0.2:5201,4344,3349340330,1213724125,7,4,9304,42496,0
22:43:55.056037,192.168.0.1:46186,10.0.0.2:5201,4344,3349344674,1213724125,7,4,10168,42496,0
22:43:55.056163,192.168.0.1:46186,10.0.0.2:5201,1448,3349349018,1213724125,7,4,10468,42496,0
22:43:55.056525,192.168.0.1:36558,10.0.0.2:5202,4344,2071696042,3798459356,7,5,10519,42496,0
22:43:55.056887,192.168.0.1:36558,10.0.0.2:5202,4344,2071700386,3798459356,7,5,10594,42496,0
22:43:55.057013,192.168.0.1:36558,10.0.0.2:5202,1448,2071704730,3798459356,7,5,10717,42496,0
22:43:55.057249,192.168.0.1:46186,10.0.0.2:5201,4344,3349350466,1213724125,8,4,10831,42496,0
22:43:55.057370,192.168.0.1:46186,10.0.0.2:5201,1448,3349354810,1213724125,8,4,11155,42496,0
22:43:55.057740,192.168.0.1:46186,10.0.0.2:5201,4344,3349356258,1213724125,8,4,11667,42496,0
22:43:55.057855,192.168.0.1:46186,10.0.0.2:5201,1448,3349360602,1213724125,8,4,11901,42496,0
22:43:55.058100,192.168.0.1:36558,10.0.0.2:5202,2896,2071706178,3798459356,7,5,11056,42496,0
22:43:55.058462,192.168.0.1:36558,10.0.0.2:5202,4344,2071709074,3798459356,7,5,11552,42496,0
22:43:55.058717,192.168.0.1:36558,10.0.0.2:5202,2896,2071713418,3798459356,7,5,12034,42496,0
22:43:55.058946,192.168.0.1:46186,10.0.0.2:5201,2896,3349362050,1213724125,8,4,12203,42496,0
22:43:55.059187,192.168.0.1:46186,10.0.0.2:5201,4344,3349364946,1213724125,9,4,12752,42496,0
22:43:55.059569,192.168.0.1:46186,10.0.0.2:5201,4344,3349369290,1213724125,9,4,13047,42496,0
22:43:55.059921,192.168.0.1:36558,10.0.0.2:5202,2896,2071716314,3798459356,7,5,12349,42496,0
22:43:55.060282,192.168.0.1:36558,10.0.0.2:5202,4344,2071719210,3798459356,7,5,12760,42496,0
22:43:55.060526,192.168.0.1:36558,10.0.0.2:5202,2896,2071723554,3798459356,7,5,12972,42496,0
22:43:55.060651,192.168.0.1:46186,10.0.0.2:5201,2896,3349373634,1213724125,9,4,14211,42496,0
22:43:55.060771,192.168.0.1:46186,10.0.0.2:5201,1448,3349376530,1213724125,9,4,14260,42496,0
22:43:55.061130,192.168.0.1:46186,10.0.0.2:5201,5792,3349377978,1213724125,10,4,14453,42496,0
22:43:55.061515,192.168.0.1:46186,10.0.0.2:5201,4344,3349383770,1213724125,10,4,14591,42496,0
22:43:55.061744,192.168.0.1:36558,10.0.0.2:5202,2896,2071726450,3798459356,7,5,13171,42496,0
22:43:55.062100,192.168.0.1:36558,10.0.0.2:5202,4344,2071729346,3798459356,7,5,13397,42496,0
22:43:55.062350,192.168.0.1:36558,10.0.0.2:5202,2896,2071733690,3798459356,7,5,13545,42496,0
22:43:55.062606,192.168.0.1:46186,10.0.0.2:5201,2896,3349388114,1213724125,10,4,14719,42496,0
22:43:55.063081,192.168.0.1:46186,10.0.0.2:5201,7240,3349391010,1213724125,11,4,15024,42496,0
22:43:55.063552,192.168.0.1:46186,10.0.0.2:5201,5792,3349398250,1213724125,11,4,15361,42496,0
