,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,3988612263,0,10,2147483647,0.0,0,0
1,8.181,3988612264,0,10,2147483647,8.174,65392,0
2,8.222,3988612264,37,10,2147483647,8.174,65392,0
3,12.404,3988612301,0,10,2147483647,7.663,61308,0
4,12.451,3988612301,4,10,2147483647,7.663,61308,0
5,57.505,3988612305,135,10,2147483647,12.336,98693,0
6,61.689,3042079488,0,10,2147483647,0.0,0,0
7,65.82,3042079489,0,10,2147483647,4.13,33040,0
8,65.852,3042079489,37,10,2147483647,4.13,33040,0
9,107.415,3988612440,0,10,2147483647,11.306,90450,0
10,111.48,3988612440,0,10,2147483647,11.306,90450,0
11,111.514,3042079526,7240,10,2147483647,4.115,32923,0
12,111.521,3042086766,7240,10,2147483647,4.115,32923,0
13,115.561,3042094006,1448,10,2147483647,4.106,32851,1
14,115.665,3042079526,1448,8,5,4.108,32864,3
15,116.389,3042095454,1448,7,5,4.22,33764,3
16,116.757,3042096902,1448,5,5,4.518,36146,3
17,116.893,3042098350,1448,5,5,4.622,36982,3
18,119.586,3042099798,1448,5,5,4.547,36383,3
19,120.439,3042101246,2896,5,5,4.425,35407,0
20,120.96,3042104142,2896,5,5,4.337,34701,0
21,123.641,3042107038,2896,6,5,4.302,34417,0
22,124.505,3042109934,2896,6,5,4.272,34180,0
23,125.02,3042112830,2896,6,5,4.245,33967,0
24,127.687,3042115726,2896,7,5,4.22,33766,0
25,128.592,3042118622,2896,7,5,4.203,33631,0
26,129.09,3042121518,2896,7,5,4.187,33497,0
27,129.093,3042124414,1448,7,5,4.187,33497,0
28,131.729,3042125862,2896,7,5,4.168,33350,0
29,132.643,3042128758,2896,8,5,4.154,33232,0
30,133.134,3042131654,2896,8,5,4.14,33121,0
31,135.765,3042134550,2896,8,5,4.456,35655,0
32,135.784,3042137446,2896,8,5,4.406,35253,0
33,136.706,3042140342,2896,9,5,4.363,34908,0
34,137.183,3042143238,2896,9,5,4.324,34592,0
35,137.191,3042146134,1448,9,5,4.29,34324,0
36,139.795,3042147582,1448,9,5,4.257,34062,0
37,139.918,3042149030,2896,9,5,4.217,33743,0
38,140.755,3042151926,2896,9,5,4.199,33595,0
39,141.219,3042154822,4344,10,5,4.164,33318,0
40,141.342,3042159166,2896,10,5,4.149,33199,0
41,143.822,3042162062,1448,10,5,4.134,33073,0
42,144.791,3042163510,4344,10,5,4.099,32799,0
43,145.297,3042167854,4344,10,5,4.089,32714,0
44,145.506,3042172198,4344,11,5,4.107,32859,0
45,145.632,3042176542,1448,11,5,4.13,33041,0
46,147.857,3042177990,1448,11,5,4.118,32945,0
47,148.82,3042179438,1448,11,5,4.107,32856,0
48,149.333,3042180886,4344,11,5,4.096,32772,0
49,149.579,3042185230,4344,11,5,4.096,32775,0
50,149.808,3042189574,4344,12,5,4.133,33067,0
51,151.892,3042193918,2896,12,5,4.141,33129,0
52,153.36,3042196814,2896,12,5,4.113,32909,0
53,153.493,3042199710,2896,12,5,4.11,32886,0
54,153.835,3042202606,4344,12,5,4.124,32996,0
55,154.096,3042206950,4344,13,5,4.146,33169,0
56,155.93,3042211294,2896,13,5,4.159,33274,0
57,157.389,3042214190,2896,13,5,4.13,33042,0
58,157.861,3042217086,5792,13,5,4.1,32805,0
59,158.226,3042222878,5792,13,5,4.097,32783,0
60,159.972,3042228670,4344,14,5,4.11,32886,0
61,161.433,3042233014,2896,14,5,4.095,32765,0
62,162.012,3042235910,5792,14,5,4.087,32703,0
63,162.496,3042241702,5792,14,5,4.127,33017,0
64,163.997,3042247494,2896,14,5,4.143,33148,0
65,165.46,3042250390,5792,15,5,4.119,32953,0
66,166.149,3042256182,5792,15,5,4.094,32756,0
67,166.634,3042261974,5792,15,5,4.099,32795,0
68,168.024,3042267766,2896,15,5,4.109,32876,0
69,169.5,3042270662,2896,15,5,4.092,32740,0
70,169.517,3042273558,2896,16,5,4.088,32706,0
71,170.176,3042276454,5792,16,5,4.097,32778,0
72,170.662,3042282246,5792,16,5,4.099,32796,0
73,172.05,3042288038,4344,16,5,4.112,32896,0
74,173.525,3042292382,2896,16,5,4.092,32738,0
75,174.202,3042295278,7240,17,5,4.097,32782,0
76,174.687,3042302518,7240,17,5,4.095,32760,0
77,176.088,3042309758,4344,17,5,4.108,32869,0
78,177.648,3042314102,4344,17,5,4.107,32860,0
79,178.459,3042318446,7240,18,5,4.125,33000,0
80,178.942,3042325686,7240,18,5,4.157,33259,0
81,180.118,3042332926,4344,18,5,4.2,33604,0
82,181.913,3042337270,4344,18,5,4.186,33489,0
83,182.608,3042341614,7240,18,5,4.193,33546,0
84,183.091,3042348854,7240,19,5,4.195,33563,0
85,184.146,3042356094,5792,19,5,4.237,33896,0
86,186.061,3042361886,4344,19,5,4.195,33563,0
87,186.761,3042366230,7240,19,5,4.178,33425,0
88,187.354,3042373470,7240,19,5,4.192,33542,0
89,188.173,3042380710,7240,20,5,4.2,33600,0
90,190.1,3042387950,4344,20,5,4.182,33457,0
91,190.901,3042392294,7240,20,5,4.152,33220,0
92,191.508,3042399534,7240,20,5,4.155,33245,0
93,192.476,3042406774,8688,21,5,4.196,33575,0
94,194.13,3042415462,4344,21,5,4.235,33884,0
95,195.165,3042419806,8688,21,5,4.187,33503,0
96,195.902,3042428494,8688,21,5,4.207,33659,0
97,196.981,3042437182,8688,22,5,4.249,33998,0
98,197.144,3988612440,1,10,2147483647,11.306,90450,0
99,198.197,3042445870,2896,22,5,4.268,34144,0
100,199.306,3042448766,7240,22,5,4.199,33597,0
101,200.041,3042456006,8688,22,5,4.199,33594,0
102,201.132,3042464694,7240,22,5,4.224,33797,0
103,201.828,3988612441,0,10,2147483647,10.478,83827,0
104,201.903,3988612441,4,10,2147483647,10.478,83827,0
105,249.511,3988612445,282,10,2147483647,15.118,120949,0
106,295.434,3988612727,0,10,2147483647,13.742,109941,0
107,299.556,3988612727,0,10,2147483647,13.742,109941,0
108,299.659,3988612727,1,10,2147483647,13.742,109941,0
109,299.67,3988612728,0,10,2147483647,13.742,109941,0
110,303.93,3988612729,0,10,2147483647,12.533,100269,0
