,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,64998367,0,10,2147483647,0.0,0,0
1,8.009,64998368,0,10,2147483647,8.006,64048,0
2,8.029,64998368,37,10,2147483647,8.006,64048,0
3,12.148,64998405,0,10,2147483647,7.518,60151,0
4,12.207,64998405,4,10,2147483647,7.518,60151,0
5,59.373,64998409,136,10,2147483647,12.474,99796,0
6,63.586,2413061909,0,10,2147483647,0.0,0,0
7,67.677,2413061910,0,10,2147483647,4.077,32616,0
8,67.713,2413061910,37,10,2147483647,4.077,32616,0
9,105.298,64998545,0,10,2147483647,11.428,91431,0
10,109.39,64998545,0,10,2147483647,11.428,91431,0
11,109.414,2413061947,7240,10,2147483647,4.074,32593,0
12,109.421,2413069187,7240,10,2147483647,4.074,32593,0
13,113.452,2413076427,1448,10,2147483647,4.069,32554,1
14,113.567,2413061947,1448,8,7,4.077,32620,3
15,114.303,2413077875,1448,7,7,4.198,33587,3
16,114.403,2413079323,1448,7,7,4.296,34370,3
17,114.535,2413080771,1448,7,7,4.398,35186,3
18,114.646,2413082219,1448,7,7,4.501,36012,3
19,114.767,2413083667,1448,7,7,4.606,36855,3
20,117.485,2413085115,1448,7,7,4.534,36279,3
21,118.337,2413086563,2896,7,7,4.413,35310,0
22,118.553,2413089459,2896,7,7,4.323,34584,0
23,121.537,2413092355,2896,8,7,4.594,36759,0
24,121.547,2413095251,2896,8,7,4.594,36759,0
25,122.408,2413098147,2896,8,7,4.529,36233,0
26,122.608,2413101043,2896,8,7,4.469,35757,0
27,125.606,2413103939,2896,8,7,4.418,35350,0
28,125.81,2413106835,2896,8,7,4.4,35204,0
29,126.443,2413109731,2896,8,7,4.354,34837,0
30,126.67,2413112627,2896,8,7,4.318,34544,0
31,129.661,2413115523,2896,8,7,4.284,34277,0
32,129.875,2413118419,2896,8,7,4.257,34056,0
33,130.476,2413121315,2896,8,7,4.229,33832,0
34,130.705,2413124211,2896,8,7,4.204,33637,0
35,133.698,2413127107,2896,8,7,4.183,33470,0
36,133.924,2413130003,2896,8,7,4.149,33196,0
37,134.503,2413132899,2896,8,7,4.12,32964,0
38,134.731,2413135795,2896,8,7,4.097,32782,0
39,137.727,2413138691,2896,9,7,4.088,32710,0
40,137.952,2413141587,2896,9,7,4.075,32602,0
41,138.528,2413144483,2896,9,7,4.064,32519,0
42,138.751,2413147379,2896,9,7,4.056,32448,0
43,138.827,2413150275,2896,10,7,4.06,32487,0
44,141.755,2413153171,1448,10,7,4.056,32452,0
45,141.997,2413154619,4344,10,7,4.051,32411,0
