,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,3375055155,0,10,2147483647,0.0,0,0
1,8.028,3375055156,0,10,2147483647,8.027,64216,0
2,8.052,3375055156,37,10,2147483647,8.027,64216,0
3,12.153,3375055193,0,10,2147483647,7.534,60274,0
4,12.198,3375055193,4,10,2147483647,7.534,60274,0
5,57.435,3375055197,136,10,2147483647,12.246,97973,0
6,61.65,3756283914,0,10,2147483647,0.0,0,0
7,65.827,3756283915,0,10,2147483647,4.178,33424,0
8,65.857,3756283915,37,10,2147483647,4.178,33424,0
9,103.374,3375055333,0,10,2147483647,11.233,89869,0
10,107.41,3375055333,0,10,2147483647,11.233,89869,0
11,107.443,3756283952,7240,10,2147483647,4.164,33314,0
12,107.45,3756291192,7240,10,2147483647,4.164,33314,0
13,111.907,3756298432,1448,10,2147483647,4.201,33611,1
14,112.145,3756283952,1448,8,7,4.305,34446,3
15,112.998,3756299880,1448,7,7,4.517,36141,3
16,113.117,3756301328,1448,7,7,4.661,37289,3
17,113.241,3756302776,1448,7,7,4.802,38416,3
18,113.361,3756304224,1448,7,7,4.94,39523,3
19,113.482,3756305672,1448,7,7,5.076,40612,3
20,115.929,3756307120,1448,7,7,4.944,39556,3
21,117.021,3756308568,2896,7,7,4.725,37807,0
22,117.27,3756311464,2896,7,7,4.561,36493,0
23,119.952,3756314360,2896,8,7,4.74,37924,0
24,119.956,3756317256,2896,8,7,4.74,37924,0
25,121.253,3756320152,2896,8,7,4.676,37413,0
26,121.442,3756323048,2896,8,7,4.613,36907,0
27,124.028,3756325944,2896,8,7,4.545,36366,0
28,124.241,3756328840,2896,8,7,4.513,36108,0
29,125.284,3756331736,2896,8,7,4.453,35624,0
30,125.52,3756334632,2896,8,7,4.405,35246,0
31,128.118,3756337528,2896,8,7,4.366,34930,0
32,128.334,3756340424,2896,8,7,4.33,34643,0
33,129.448,3756343320,2896,8,7,4.309,34476,0
34,129.765,3756346216,2896,8,7,4.299,34397,0
35,132.274,3756349112,1448,8,7,4.281,34252,0
36,132.402,3756350560,2896,8,7,4.242,33940,0
37,133.481,3756353456,2896,8,7,4.2,33605,0
38,133.806,3756356352,2896,8,7,4.165,33320,0
39,133.812,3756359248,1448,8,7,4.152,33216,0
40,136.414,3756360696,2896,9,7,4.15,33203,0
41,136.654,3756363592,2896,9,7,4.161,33288,0
42,137.696,3756366488,2896,9,7,4.16,33285,0
43,137.935,3756369384,2896,9,7,4.142,33136,0
44,138.069,3756372280,2896,10,7,4.156,33249,0
45,140.441,3756375176,1448,10,7,4.139,33118,0
46,140.715,3756376624,4344,10,7,4.109,32876,0
47,141.859,3756380968,1448,10,7,4.116,32928,0
48,142.154,3756382416,2896,10,7,4.146,33175,0
49,142.464,3756385312,4344,10,7,4.212,33697,0
50,144.469,3756389656,2896,11,7,4.189,33512,0
51,144.855,3756392552,4344,11,7,4.15,33206,0
52,146.196,3756396896,1448,11,7,4.174,33392,0
53,146.558,3756398344,4344,11,7,4.176,33412,0
54,146.796,3756402688,4344,12,7,4.199,33596,0
55,148.497,3756407032,1448,12,7,4.177,33423,0
56,148.897,3756408480,4344,12,7,4.132,33057,0
