,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,3994673038,0,10,2147483647,0.0,0,0
1,7.776,3994673039,0,10,2147483647,7.769,62152,0
2,7.81,3994673039,37,10,2147483647,7.769,62152,0
3,11.931,3994673076,0,10,2147483647,7.311,58488,0
4,11.97,3994673076,4,10,2147483647,7.311,58488,0
5,59.982,3994673080,136,10,2147483647,12.398,99185,0
6,64.22,2757462520,0,10,2147483647,0.0,0,0
7,68.371,2757462521,0,10,2147483647,4.151,33208,0
8,68.394,2757462521,37,10,2147483647,4.151,33208,0
9,105.874,3994673216,0,10,2147483647,11.37,90961,0
10,110.038,3994673216,0,10,2147483647,11.37,90961,0
11,110.06,2757462558,7240,10,2147483647,4.135,33087,0
12,110.076,2757469798,7240,10,2147483647,4.135,33087,0
13,114.992,2757477038,1448,10,2147483647,4.235,33883,1
14,115.231,2757462558,1448,8,7,4.441,35535,3
15,115.473,2757478486,1448,7,7,4.654,37237,3
16,115.594,2757479934,1448,7,7,4.762,38102,3
17,115.727,2757481382,1448,7,7,4.873,38990,3
18,115.837,2757482830,1448,7,7,4.984,39878,3
19,115.961,2757484278,1448,7,7,5.097,40778,3
20,119.016,2757485726,1448,7,7,4.962,39701,3
21,119.499,2757487174,2896,7,7,4.74,37920,0
22,119.749,2757490070,2896,7,7,4.579,36635,0
23,123.051,2757492966,2896,8,7,4.833,38671,0
24,123.054,2757495862,2896,8,7,4.833,38671,0
25,123.532,2757498758,2896,8,7,4.733,37870,0
26,123.784,2757501654,2896,8,7,4.646,37170,0
27,127.224,2757504550,2896,8,7,4.586,36694,0
28,127.484,2757507446,2896,8,7,4.567,36539,0
29,127.705,2757510342,2896,8,7,4.517,36143,0
30,127.982,2757513238,2896,8,7,4.477,35823,0
31,131.429,2757516134,2896,8,7,4.442,35538,0
32,131.676,2757519030,2896,8,7,4.41,35287,0
33,131.912,2757521926,2896,8,7,4.383,35070,0
34,132.101,2757524822,2896,8,7,4.35,34805,0
35,135.564,2757527718,2896,9,7,4.323,34589,0
36,135.817,2757530614,2896,9,7,4.3,34407,0
37,136.041,2757533510,2896,9,7,4.277,34223,0
38,136.226,2757536406,4344,10,7,4.258,34071,0
39,136.229,2757540750,1448,10,7,4.258,34071,0
40,139.633,2757542198,2896,10,7,4.236,33891,0
41,140.192,2757545094,4344,10,7,4.208,33666,0
42,140.363,2757549438,4344,10,7,4.175,33401,0
43,140.659,2757553782,2896,10,7,4.214,33718,0
44,143.712,2757556678,2896,11,7,4.197,33583,0
45,144.343,2757559574,4344,11,7,4.187,33497,0
46,144.605,2757563918,4344,11,7,4.185,33480,0
47,145.038,2757568262,4344,12,7,4.233,33865,0
48,145.042,2757572606,1448,12,7,4.233,33865,0
49,148.121,2757574054,1448,12,7,4.255,34041,0
50,148.485,2757575502,4344,12,7,4.242,33939,0
51,148.846,2757579846,4344,12,7,4.231,33848,0
52,148.968,2757584190,1448,12,7,4.247,33980,0
53,149.333,2757585638,4344,12,7,4.226,33813,0
54,149.454,2757589982,1448,12,7,4.25,34001,0
55,152.483,2757591430,2896,13,7,4.264,34112,0
56,152.844,2757594326,4344,13,7,4.258,34071,0
57,153.252,2757598670,4344,13,7,4.261,34093,0
58,153.571,2757603014,4344,13,7,4.252,34021,0
59,153.812,2757607358,4344,14,7,4.277,34220,0
60,156.756,2757611702,1448,14,7,4.276,34215,0
61,157.244,2757613150,5792,14,7,4.289,34318,0
62,157.723,2757618942,5792,14,7,4.258,34068,0
63,158.208,2757624734,5792,14,7,4.292,34337,0
64,158.329,2757630526,1448,14,7,4.32,34561,0
65,160.778,2757631974,1448,14,7,4.282,34262,0
66,161.504,2757633422,5792,14,7,4.218,33748,0
67,161.868,2757639214,5792,15,7,4.169,33354,0
68,162.35,2757645006,5792,15,7,4.144,33153,0
69,162.593,2757650798,2896,15,7,4.172,33376,0
70,165.042,2757653694,1448,15,7,4.183,33466,0
71,165.765,2757655142,5792,15,7,4.159,33276,0
72,166.126,2757660934,5792,16,7,4.156,33250,0
73,166.61,2757666726,5792,16,7,4.172,33383,0
74,166.973,2757672518,4344,16,7,4.228,33826,0
75,169.185,2757676862,1448,16,7,4.217,33740,0
76,170.027,2757678310,5792,16,7,4.18,33444,0
77,170.511,2757684102,7240,17,7,4.199,33592,0
78,170.667,2757691342,1448,17,7,4.177,33417,0
79,171.236,2757692790,7240,17,7,4.208,33669,0
80,173.583,2757700030,2896,17,7,4.251,34012,0
81,174.542,2757702926,7240,17,7,4.178,33430,0
82,174.896,2757710166,7240,18,7,4.198,33588,0
83,175.502,2757717406,7240,18,7,4.181,33453,0
84,175.623,2757724646,1448,18,7,4.207,33657,0
85,178.095,2757726094,1448,18,7,4.245,33960,0
86,178.805,2757727542,7240,18,7,4.225,33806,0
87,179.413,2757734782,7240,18,7,4.29,34323,0
88,180.015,2757742022,7240,18,7,4.341,34728,0
89,180.258,2757749262,2896,18,7,4.409,35279,0
90,182.444,2757752158,2896,19,7,4.402,35218,0
91,182.833,2757755054,2896,19,7,4.314,34514,0
92,183.457,2757757950,7240,19,7,4.237,33903,0
93,184.045,2757765190,7240,19,7,4.197,33576,0
94,184.643,2757772430,7240,20,7,4.247,33981,0
95,187.074,2757779670,2896,20,7,4.295,34362,0
96,187.673,2757782566,7240,20,7,4.342,34736,0
97,188.277,2757789806,7240,20,7,4.334,34675,0
98,188.89,2757797046,7240,20,7,4.337,34702,0
99,189.245,2757804286,4344,20,7,4.388,35107,0
100,191.79,2757808630,2896,21,7,4.429,35433,0
101,192.395,2757811526,7240,21,7,4.513,36107,0
102,192.758,2757818766,4344,21,7,4.524,36192,0
103,193.363,2757823110,7240,21,7,4.552,36417,0
104,193.969,2757830350,7240,21,7,4.623,36986,0
105,194.091,2757837590,1448,21,7,4.65,37207,0
106,196.756,2757839038,1448,21,7,4.69,37522,0
107,197.239,2757840486,7240,22,7,4.738,37905,0
108,197.852,2757847726,7240,22,7,4.863,38910,0
109,198.451,2757854966,7240,22,7,4.87,38963,0
110,198.745,3994673216,1,10,2147483647,11.37,90961,0
111,199.056,2757862206,7240,22,7,4.874,38993,0
112,199.179,2757869446,1448,22,7,4.9,39205,0
113,201.856,2757870894,1448,22,7,4.925,39401,0
114,202.332,2757872342,7240,23,7,4.927,39423,0
115,202.938,2757879582,7240,23,7,4.948,39589,0
116,203.058,2757886822,1448,23,7,4.98,39846,0
117,203.664,2757888270,7240,23,7,4.991,39928,0
118,203.844,3994673217,0,10,2147483647,10.586,84689,0
119,203.875,3994673217,4,10,2147483647,10.586,84689,0
120,256.208,3994673221,281,10,2147483647,15.802,126416,0
121,301.874,3994673502,0,10,2147483647,14.389,115115,0
122,306.121,3994673502,0,10,2147483647,14.389,115115,0
123,306.375,3994673502,1,10,2147483647,14.389,115115,0
