,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,1399353889,0,10,2147483647,0.0,0,0
1,8.262,1399353890,0,10,2147483647,8.252,66016,0
2,8.298,1399353890,37,10,2147483647,8.252,66016,0
3,12.432,1399353927,0,10,2147483647,7.736,61889,0
4,12.468,1399353927,4,10,2147483647,7.736,61889,0
5,60.507,1399353931,135,10,2147483647,12.773,102191,0
6,64.721,1101136275,0,10,2147483647,0.0,0,0
7,68.873,1101136276,0,10,2147483647,4.145,33160,0
8,68.895,1101136276,37,10,2147483647,4.145,33160,0
9,106.361,1399354066,0,10,2147483647,11.697,93580,0
10,110.464,1399354066,0,10,2147483647,11.697,93580,0
11,110.496,1101136313,7240,10,2147483647,4.131,33053,0
12,110.516,1101143553,7240,10,2147483647,4.131,33053,0
13,114.547,1101150793,1448,10,2147483647,4.121,32969,1
14,114.649,1101136313,1448,8,5,4.119,32959,3
15,114.894,1101152241,1448,7,5,4.169,33353,3
16,115.253,1101153689,1448,5,5,4.32,34567,3
17,115.379,1101155137,1448,5,5,4.388,35109,3
18,118.572,1101156585,1448,5,5,4.342,34742,3
19,118.966,1101158033,2896,5,5,4.271,34170,0
20,119.414,1101160929,2896,5,5,4.214,33715,0
21,122.612,1101163825,2896,6,5,4.192,33537,0
22,123.016,1101166721,2896,6,5,4.174,33395,0
23,123.453,1101169617,2896,6,5,4.157,33260,0
24,126.656,1101172513,2896,7,5,4.143,33146,0
25,127.058,1101175409,2896,7,5,4.13,33041,0
26,127.499,1101178305,2896,7,5,4.119,32954,0
27,127.505,1101181201,1448,7,5,4.119,32954,0
28,130.713,1101182649,2896,7,5,4.111,32890,0
29,131.115,1101185545,2896,8,5,4.102,32822,0
30,131.552,1101188441,2896,8,5,4.094,32759,0
31,134.74,1101191337,2896,8,5,4.488,35905,0
32,134.761,1101194233,2896,8,5,4.433,35464,0
33,135.258,1101197129,2896,9,5,4.366,34928,0
34,135.596,1101200025,2896,9,5,4.327,34617,0
35,135.602,1101202921,1448,9,5,4.294,34352,0
36,138.768,1101204369,1448,9,5,4.26,34084,0
37,138.878,1101205817,2896,9,5,4.217,33741,0
38,139.423,1101208713,2896,9,5,4.217,33740,0
39,139.672,1101211609,4344,10,5,4.196,33568,0
40,139.733,1101215953,2896,10,5,4.176,33410,0
41,142.792,1101218849,1448,10,5,4.157,33256,0
42,143.514,1101220297,4344,10,5,4.121,32969,0
43,143.815,1101224641,4344,10,5,4.123,32990,0
44,143.979,1101228985,4344,11,5,4.146,33168,0
45,144.101,1101233329,1448,11,5,4.173,33389,0
46,146.884,1101234777,1448,11,5,4.163,33307,0
47,147.57,1101236225,1448,11,5,4.149,33199,0
48,147.884,1101237673,4344,11,5,4.132,33056,0
49,148.147,1101242017,4344,11,5,4.145,33162,0
50,148.39,1101246361,4344,12,5,4.194,33552,0
51,148.511,1101250705,1448,12,5,4.22,33767,0
52,150.915,1101252153,1448,12,5,4.197,33577,0
53,151.915,1101253601,4344,12,5,4.141,33131,0
54,152.025,1101257945,1448,12,5,4.141,33129,0
55,152.391,1101259393,4344,12,5,4.139,33118,0
56,152.762,1101263737,4344,13,5,4.177,33419,0
57,152.782,1101268081,1448,13,5,4.177,33419,0
58,152.873,1101269529,1448,13,5,4.2,33602,0
59,154.944,1101270977,1448,13,5,4.178,33429,0
60,155.946,1101272425,2896,13,5,4.143,33146,0
61,156.419,1101275321,5792,13,5,4.116,32930,0
62,156.905,1101281113,5792,14,5,4.105,32841,0
63,158.975,1101286905,5792,14,5,4.127,33020,0
64,159.978,1101292697,2896,14,5,4.104,32836,0
65,160.688,1101295593,5792,14,5,4.114,32916,0
66,161.164,1101301385,5792,14,5,4.119,32952,0
67,163.226,1101307177,2896,15,5,4.135,33083,0
68,164.004,1101310073,5792,15,5,4.228,33825,0
69,164.826,1101315865,5792,15,5,4.159,33276,0
70,165.311,1101321657,5792,15,5,4.139,33112,0
71,167.608,1101327449,2896,15,5,4.183,33465,0
72,168.03,1101330345,4344,16,5,4.198,33586,0
73,168.857,1101334689,5792,16,5,4.164,33313,0
74,169.338,1101340481,5792,16,5,4.145,33160,0
75,169.577,1101346273,4344,16,5,4.149,33192,0
76,171.992,1101350617,1448,16,5,4.178,33427,0
77,172.476,1101352065,7240,17,5,4.257,34063,0
78,173.374,1101359305,7240,17,5,4.185,33484,0
79,173.852,1101366545,7240,17,5,4.188,33507,0
80,173.972,1101373785,1448,17,5,4.214,33713,0
81,176.257,1101375233,1448,17,5,4.22,33762,0
82,176.742,1101376681,7240,18,5,4.184,33475,0
83,177.637,1101383921,7240,18,5,4.177,33416,0
84,178.242,1101391161,7240,18,5,4.214,33713,0
85,178.365,1101398401,1448,18,5,4.251,34011,0
86,180.89,1101399849,2896,18,5,4.327,34621,0
87,181.495,1101402745,7240,19,5,4.431,35455,0
88,181.983,1101409985,7240,19,5,4.331,34655,0
89,182.588,1101417225,7240,19,5,4.283,34271,0
90,182.829,1101424465,2896,19,5,4.326,34609,0
91,185.275,1101427361,1448,19,5,4.333,34668,0
92,185.88,1101428809,7240,19,5,4.302,34422,0
93,186.371,1101436049,7240,20,5,4.31,34485,0
94,186.974,1101443289,7240,20,5,4.339,34714,0
95,187.457,1101450529,5792,20,5,4.434,35479,0
96,189.88,1101456321,1448,20,5,4.456,35648,0
97,190.484,1101457769,7240,20,5,4.425,35407,0
98,190.969,1101465009,7240,21,5,4.43,35445,0
99,191.574,1101472249,7240,21,5,4.455,35641,0
100,192.18,1101479489,7240,21,5,4.518,36150,0
101,194.724,1101486729,1448,21,5,4.559,36476,0
102,195.33,1101488177,7240,21,5,4.596,36768,0
103,195.814,1101495417,7240,22,5,4.631,37055,0
104,196.212,1399354066,1,10,2147483647,11.697,93580,0
105,196.42,1101502657,7240,22,5,4.677,37422,0
106,197.027,1101509897,7240,22,5,4.701,37613,0
107,199.816,1101517137,2896,22,5,4.779,38232,0
108,200.417,1101520033,7240,22,5,4.804,38433,0
109,200.66,1101527273,2896,22,5,4.809,38474,0
110,201.244,1399354067,0,10,2147483647,10.864,86914,0
111,201.292,1399354067,4,10,2147483647,10.864,86914,0
112,248.7,1399354071,280,10,2147483647,15.429,123433,0
113,294.447,1399354351,0,10,2147483647,14.06,112481,0
114,298.953,1399354351,0,10,2147483647,14.06,112481,0
115,299.349,1399354351,1,10,2147483647,14.06,112481,0
116,299.412,1399354352,0,10,2147483647,14.06,112481,0
117,303.861,1399354353,0,10,2147483647,12.845,102760,0
