,Dtime,sequence,datalength,sndcwnd,sstresh,RTT_in_ms,srtt,ca_state
0,0.0,1269701846,0,10,2147483647,0.0,0,0
1,8.202,1269701847,0,10,2147483647,8.193,65544,0
2,8.233,1269701847,37,10,2147483647,8.193,65544,0
3,12.311,1269701884,0,10,2147483647,7.675,61404,0
4,12.351,1269701884,4,10,2147483647,7.675,61404,0
5,60.418,1269701888,135,10,2147483647,12.723,101790,0
6,64.613,3561460864,0,10,2147483647,0.0,0,0
7,68.876,3561460865,0,10,2147483647,4.245,33960,0
8,68.921,3561460865,37,10,2147483647,4.245,33960,0
9,106.368,1269702023,0,10,2147483647,11.65,93206,0
10,110.498,1269702023,0,10,2147483647,11.65,93206,0
11,110.517,3561460902,5792,10,2147483647,4.218,33748,0
12,110.522,3561466694,5792,10,2147483647,4.218,33748,0
13,110.524,3561472486,2896,10,2147483647,4.218,33748,0
14,114.884,3561475382,1448,10,2147483647,4.236,33895,1
15,115.123,3561460902,1448,8,5,4.31,34482,3
16,115.849,3561476830,1448,7,5,4.535,36282,3
17,116.456,3561478278,1448,5,5,4.91,39283,3
18,116.576,3561479726,1448,5,5,5.053,40425,3
19,118.903,3561481174,1448,5,5,4.923,39390,3
20,119.902,3561482622,2896,5,5,4.713,37711,0
21,120.625,3561485518,2896,5,5,4.553,36428,0
22,122.991,3561488414,2896,6,5,4.495,35961,0
23,124.048,3561491310,2896,6,5,4.451,35609,0
24,124.671,3561494206,2896,6,5,4.4,35202,0
25,127.281,3561497102,2896,7,5,4.386,35091,0
26,128.23,3561499998,2896,7,5,4.36,34885,0
27,128.851,3561502894,2896,7,5,4.337,34703,0
28,128.857,3561505790,1448,7,5,4.337,34703,0
29,131.362,3561507238,2896,7,5,4.305,34445,0
30,132.406,3561510134,2896,8,5,4.289,34314,0
31,133.031,3561513030,2896,8,5,4.275,34202,0
32,133.049,3561515926,2896,8,5,4.256,34049,0
33,135.415,3561518822,1448,8,5,4.23,33845,0
34,136.428,3561520270,2896,8,5,4.195,33561,0
35,136.542,3561523166,2896,9,5,4.187,33502,0
36,137.218,3561526062,2896,9,5,4.187,33499,0
37,137.351,3561528958,2896,9,5,4.202,33619,0
38,139.572,3561531854,1448,9,5,4.196,33574,0
39,140.868,3561533302,1448,9,5,4.227,33817,0
40,141.132,3561534750,2896,9,5,4.31,34481,0
41,141.23,3561537646,2896,10,5,4.357,34858,0
42,141.594,3561540542,4344,10,5,4.31,34483,0
43,141.718,3561544886,1448,10,5,4.317,34538,0
44,143.708,3561546334,1448,10,5,4.294,34356,0
45,145.012,3561547782,1448,10,5,4.275,34205,0
46,145.374,3561549230,4344,10,5,4.22,33762,0
47,145.616,3561553574,4344,11,5,4.2,33604,0
48,145.983,3561557918,4344,11,5,4.21,33684,0
49,147.855,3561562262,1448,11,5,4.202,33618,0
50,149.291,3561563710,1448,11,5,4.211,33694,0
51,149.655,3561565158,4344,11,5,4.197,33582,0
52,149.898,3561569502,4344,12,5,4.203,33630,0
53,150.261,3561573846,4344,12,5,4.227,33819,0
54,152.009,3561578190,2896,12,5,4.237,33896,0
55,153.453,3561581086,1448,12,5,4.227,33818,0
56,153.821,3561582534,4344,12,5,4.182,33458,0
57,154.186,3561586878,4344,13,5,4.18,33441,0
58,154.55,3561591222,4344,13,5,4.181,33449,0
59,156.163,3561595566,2896,13,5,4.177,33419,0
60,157.854,3561598462,2896,13,5,4.215,33725,0
61,158.218,3561601358,4344,13,5,4.238,33910,0
62,158.581,3561605702,4344,13,5,4.253,34028,0
63,158.943,3561610046,5792,14,5,4.263,34106,0
64,160.205,3561615838,1448,14,5,4.235,33885,0
65,162.017,3561617286,2896,14,5,4.219,33756,0
66,162.503,3561620182,5792,14,5,4.209,33675,0
67,162.864,3561625974,4344,14,5,4.197,33581,0
68,163.129,3561630318,4344,15,5,4.176,33413,0
69,164.366,3561634662,4344,15,5,4.21,33687,0
70,166.066,3561639006,1448,15,5,4.19,33524,0
71,166.661,3561640454,5792,15,5,4.154,33234,0
72,167.141,3561646246,5792,15,5,4.168,33349,0
73,167.504,3561652038,5792,16,5,4.201,33612,0
74,168.532,3561657830,1448,16,5,4.196,33575,0
75,170.12,3561659278,4344,16,5,4.21,33685,0
76,170.939,3561663622,5792,16,5,4.184,33475,0
77,171.426,3561669414,5792,16,5,4.169,33356,0
78,171.947,3561675206,7240,17,5,4.204,33633,0
79,173.008,3561682446,1448,17,5,4.237,33903,0
80,174.178,3561683894,1448,17,5,4.215,33723,0
81,175.101,3561685342,7240,17,5,4.18,33441,0
82,175.708,3561692582,7240,17,5,4.174,33394,0
83,176.346,3561699822,7240,18,5,4.19,33525,0
84,177.431,3561707062,2896,18,5,4.219,33758,0
85,179.142,3561709958,2896,18,5,4.19,33521,0
86,179.744,3561712854,7240,18,5,4.188,33505,0
87,180.387,3561720094,7240,18,5,4.187,33497,0
88,181.707,3561727334,7240,19,5,4.232,33856,0
89,183.178,3561734574,5792,19,5,4.207,33657,0
90,184.165,3561740366,7240,19,5,4.224,33799,0
91,184.794,3561747606,7240,19,5,4.234,33879,0
92,185.859,3561754846,2896,19,5,4.224,33795,0
93,187.677,3561757742,7240,20,5,4.307,34461,0
94,188.206,3561764982,7240,20,5,4.321,34574,0
95,188.836,3561772222,7240,20,5,4.296,34374,0
96,190.146,3561779462,7240,20,5,4.308,34469,0
97,191.722,3561786702,2896,20,5,4.275,34204,0
98,192.326,3561789598,8688,21,5,4.27,34164,0
99,193.167,3561798286,8688,21,5,4.288,34309,0
100,194.5,3561806974,5792,21,5,4.315,34523,0
101,195.951,3561812766,7240,21,5,4.376,35008,0
102,196.881,3561820006,8688,22,5,4.362,34902,0
103,196.888,3561828694,1448,22,5,4.362,34902,0
104,197.69,3561830142,8688,22,5,4.342,34740,0
105,198.779,3561838830,5792,22,5,4.301,34411,0
106,200.048,3561844622,2896,22,5,4.275,34206,0
107,201.164,3561847518,8688,22,5,4.277,34220,0
108,201.772,3561856206,8688,23,5,4.316,34532,0
109,202.113,1269702023,1,10,2147483647,11.65,93206,0
110,203.473,3561864894,8688,23,5,4.392,35137,0
111,204.931,3561873582,7240,23,5,4.512,36099,0
112,205.719,3561880822,8688,23,5,4.453,35630,0
113,206.196,3561889510,7240,24,5,4.421,35371,0
114,206.761,1269702024,0,10,2147483647,10.775,86203,0
115,206.85,1269702024,4,10,2147483647,10.775,86203,0
116,252.452,1269702028,280,10,2147483647,15.127,121022,0
117,298.384,1269702308,0,10,2147483647,13.757,110060,0
118,302.707,1269702308,0,10,2147483647,13.757,110060,0
119,302.816,1269702308,1,10,2147483647,13.757,110060,0
120,302.828,1269702309,0,10,2147483647,13.757,110060,0
121,307.122,1269702310,0,10,2147483647,12.569,100554,0
