time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
16:33:01.218254,192.168.0.1:40116,10.0.0.2:5201,0,397765259,0,10,2147483647,0,42340,0
16:33:01.218806,192.168.0.1:41124,10.0.0.2:5202,0,2798454604,0,10,2147483647,0,42340,0
16:33:01.226487,192.168.0.1:40116,10.0.0.2:5201,0,397765260,417874708,10,2147483647,65792,42496,0
16:33:01.226500,192.168.0.1:41124,10.0.0.2:5202,0,2798454605,3858941871,10,2147483647,61544,42496,0
16:33:01.226531,192.168.0.1:40116,10.0.0.2:5201,37,397765260,417874708,10,2147483647,65792,42496,0
16:33:01.226531,192.168.0.1:41124,10.0.0.2:5202,37,2798454605,3858941871,10,2147483647,61544,42496,0
16:33:01.230614,192.168.0.1:40116,10.0.0.2:5201,0,397765297,417874709,10,2147483647,61640,42496,0
16:33:01.230622,192.168.0.1:41124,10.0.0.2:5202,0,2798454642,3858941872,10,2147483647,57927,42496,0
16:33:01.230658,192.168.0.1:40116,10.0.0.2:5201,4,397765297,417874709,10,2147483647,61640,42496,0
16:33:01.230663,192.168.0.1:41124,10.0.0.2:5202,4,2798454642,3858941872,10,2147483647,57927,42496,0
16:33:01.276662,192.168.0.1:41124,10.0.0.2:5202,136,2798454646,3858941872,10,2147483647,96681,42496,0
16:33:01.276675,192.168.0.1:40116,10.0.0.2:5201,135,397765301,417874709,10,2147483647,99951,42496,0
16:33:01.280851,192.168.0.1:40122,10.0.0.2:5201,0,2007903903,0,10,2147483647,0,42340,0
16:33:01.280859,192.168.0.1:41140,10.0.0.2:5202,0,2304808387,0,10,2147483647,0,42340,0
16:33:01.285015,192.168.0.1:40122,10.0.0.2:5201,0,2007903904,1084528913,10,2147483647,33264,42496,0
16:33:01.285026,192.168.0.1:41140,10.0.0.2:5202,0,2304808388,587955262,10,2147483647,33328,42496,0
16:33:01.285035,192.168.0.1:40122,10.0.0.2:5201,37,2007903904,1084528913,10,2147483647,33264,42496,0
16:33:01.285052,192.168.0.1:41140,10.0.0.2:5202,37,2304808388,587955262,10,2147483647,33328,42496,0
16:33:01.322541,192.168.0.1:40116,10.0.0.2:5201,0,397765436,417874710,10,2147483647,91584,42496,0
16:33:01.322568,192.168.0.1:41124,10.0.0.2:5202,0,2798454782,3858941873,10,2147483647,88733,42496,0
16:33:01.326626,192.168.0.1:40116,10.0.0.2:5201,0,397765436,417874712,10,2147483647,91584,42496,0
16:33:01.326637,192.168.0.1:41124,10.0.0.2:5202,0,2798454782,3858941875,10,2147483647,88733,42496,0
16:33:01.326674,192.168.0.1:40122,10.0.0.2:5201,7240,2007903941,1084528913,10,2147483647,33155,42496,0
16:33:01.326678,192.168.0.1:40122,10.0.0.2:5201,7240,2007911181,1084528913,10,2147483647,33155,42496,0
16:33:01.326678,192.168.0.1:41140,10.0.0.2:5202,7240,2304808425,587955262,10,2147483647,33198,42496,0
16:33:01.326688,192.168.0.1:41140,10.0.0.2:5202,7240,2304815665,587955262,10,2147483647,33198,42496,0
16:33:01.330734,192.168.0.1:40122,10.0.0.2:5201,1448,2007918421,1084528913,10,2147483647,33066,42496,1
16:33:01.330840,192.168.0.1:40122,10.0.0.2:5201,1448,2007903941,1084528913,8,5,33057,42496,3
16:33:01.331078,192.168.0.1:40122,10.0.0.2:5201,1448,2007919869,1084528913,7,5,33454,42496,3
16:33:01.331442,192.168.0.1:40122,10.0.0.2:5201,1448,2007921317,1084528913,5,5,34707,42496,3
16:33:01.331566,192.168.0.1:40122,10.0.0.2:5201,1448,2007922765,1084528913,5,5,35254,42496,3
16:33:01.331689,192.168.0.1:41140,10.0.0.2:5202,1448,2304822905,587955262,10,2147483647,34057,42496,1
16:33:01.331941,192.168.0.1:41140,10.0.0.2:5202,1448,2304808425,587955262,8,7,35831,42496,3
16:33:01.332187,192.168.0.1:41140,10.0.0.2:5202,1448,2304824353,587955262,7,7,37634,42496,3
16:33:01.332294,192.168.0.1:41140,10.0.0.2:5202,1448,2304825801,587955262,7,7,38534,42496,3
16:33:01.332417,192.168.0.1:41140,10.0.0.2:5202,1448,2304827249,587955262,7,7,39444,42496,3
16:33:01.332562,192.168.0.1:41140,10.0.0.2:5202,1448,2304828697,587955262,7,7,40386,42496,3
16:33:01.332663,192.168.0.1:41140,10.0.0.2:5202,1448,2304830145,587955262,7,7,41309,42496,3
16:33:01.334806,192.168.0.1:40122,10.0.0.2:5201,1448,2007924213,1084528913,5,5,34914,42496,3
16:33:01.335123,192.168.0.1:40122,10.0.0.2:5201,2896,2007925661,1084528913,5,5,34275,42496,0
16:33:01.335592,192.168.0.1:40122,10.0.0.2:5201,2896,2007928557,1084528913,5,5,33791,42496,0
16:33:01.335723,192.168.0.1:41140,10.0.0.2:5202,1448,2304831593,587955262,7,7,40176,42496,3
16:33:01.336218,192.168.0.1:41140,10.0.0.2:5202,2896,2304833041,587955262,7,7,38290,42496,0
16:33:01.336438,192.168.0.1:41140,10.0.0.2:5202,2896,2304835937,587955262,7,7,36860,42496,0
16:33:01.338846,192.168.0.1:40122,10.0.0.2:5201,2896,2007931453,1084528913,6,5,33606,42496,0
16:33:01.339246,192.168.0.1:40122,10.0.0.2:5201,2896,2007934349,1084528913,6,5,33515,42496,0
16:33:01.339639,192.168.0.1:40122,10.0.0.2:5201,2896,2007937245,1084528913,6,5,33372,42496,0
16:33:01.339753,192.168.0.1:41140,10.0.0.2:5202,2896,2304838833,587955262,8,7,38855,42496,0
16:33:01.339758,192.168.0.1:41140,10.0.0.2:5202,2896,2304841729,587955262,8,7,38855,42496,0
16:33:01.340298,192.168.0.1:41140,10.0.0.2:5202,2896,2304844625,587955262,8,7,38078,42496,0
16:33:01.340623,192.168.0.1:41140,10.0.0.2:5202,2896,2304847521,587955262,8,7,37491,42496,0
16:33:01.342908,192.168.0.1:40122,10.0.0.2:5201,2896,2007940141,1084528913,7,5,33249,42496,0
16:33:01.343364,192.168.0.1:40122,10.0.0.2:5201,2896,2007943037,1084528913,7,5,33196,42496,0
16:33:01.343741,192.168.0.1:40122,10.0.0.2:5201,2896,2007945933,1084528913,7,5,33147,42496,0
16:33:01.343755,192.168.0.1:40122,10.0.0.2:5201,1448,2007948829,1084528913,7,5,33147,42496,0
16:33:01.343961,192.168.0.1:41140,10.0.0.2:5202,2896,2304850417,587955262,8,7,37011,42496,0
16:33:01.344227,192.168.0.1:41140,10.0.0.2:5202,2896,2304853313,587955262,8,7,36846,42496,0
16:33:01.344418,192.168.0.1:41140,10.0.0.2:5202,2896,2304856209,587955262,8,7,36359,42496,0
16:33:01.344802,192.168.0.1:41140,10.0.0.2:5202,2896,2304859105,587955262,8,7,35992,42496,0
16:33:01.346973,192.168.0.1:40122,10.0.0.2:5201,2896,2007950277,1084528913,7,5,33068,42496,0
16:33:01.347466,192.168.0.1:40122,10.0.0.2:5201,2896,2007953173,1084528913,8,5,33036,42496,0
16:33:01.347897,192.168.0.1:40122,10.0.0.2:5201,2896,2007956069,1084528913,8,5,33061,42496,0
